brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID, card
tg:lhbr:141156,d:lh:239048,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/T_/T177_Texeira_de_Mattos_Alexander/tg_lhbr_141156,lhbr,e73_LegacyImages,image high resolution,51348a7c-9d67-5342-bec5-6efc47582013,e73_LegacyImages
tg:lhbr:141159,d:lh:239047,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/T_/T177_Texeira_de_Mattos_Alexander/tg_lhbr_141159,lhbr,e73_LegacyImages,image high resolution,76979caa-fd57-5c60-b958-37e210ec4532,e73_LegacyImages
tg:lhbr:141168,d:lh:239050,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/T_/T177_Texeira_de_Mattos_Alexander/tg_lhbr_141168,lhbr,e73_LegacyImages,image high resolution,c47edea2-dae9-53c9-abff-d17f6c551e1f,e73_LegacyImages
tg:lhbr:142686,d:lh:277348,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/T_/T3465_Timmermans_Felix/tg_lhbr_142686.tif,lhbr,e73_LegacyImages,image high resolution,4dbeabd6-b049-5159-b9ae-7f840530f9eb,e73_LegacyImages
tg:lhbr:148244,d:lh:238068,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/V_/V34308_Verboeckhoven_Eug%14Ene_Jos/tg_lhbr_148244.tif,lhbr,e73_LegacyImages,image high resolution,4d691ed2-c3b0-5732-a91f-0e57bd4146a5,e73_LegacyImages
tg:lhbr:149662,d:lh:260897,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/M_/M736_Monet_August/tg_lhbr_149662,lhbr,e73_LegacyImages,image high resolution,8dbe0a62-3648-5291-b692-ec768977ad3e,e73_LegacyImages
tg:lhbr:15487,d:lh:251613,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_04_handschriften/N_/N135_Nahon_Alice/tg_lhbr_15487.tif,lhbr,e73_LegacyImages,image high resolution,ecb24bd3-4949-542a-b3a5-9ae11152f750,e73_LegacyImages
tg:lhbr:15489,d:lh:251614,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_04_handschriften/N_/N135_Nahon_Alice/tg_lhbr_15489.tif,lhbr,e73_LegacyImages,image high resolution,89d0c363-83a6-5b7e-a85e-9c28f2114fa8,e73_LegacyImages
tg:lhbr:158464,d:lh:235800,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/W_/W254_Wappers_Gustaaf,lhbr,e73_LegacyImages,image high resolution,e0d1b7c9-8621-5f49-ad8d-d2447003eb5e,e73_LegacyImages
tg:lhbr:161532,d:lh:201406,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/W_/W706_Willems_Jan_Frans/tg_lhbr_161532.tif,lhbr,e73_LegacyImages,image high resolution,69492e53-ceb7-5750-a0cd-013a1abcd5a5,e73_LegacyImages
tg:lhbr:16218,d:lh:227141,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B7307_Boon_Louis_Paul/tg_lhbr_16218.tif,lhbr,e73_LegacyImages,image high resolution,1fbba64f-77a5-57c5-bf6f-db78871cfc60,e73_LegacyImages
tg:lhbr:16247,d:lh:227137,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B7307_Boon_Louis_Paul/tg_lhbr_16247.tif,lhbr,e73_LegacyImages,image high resolution,f751a9b9-037d-5945-9786-74491aa7a4ee,e73_LegacyImages
tg:lhbr:16251,d:lh:227123,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B7307_Boon_Louis_Paul/tg_lhbr_16251.tif,lhbr,e73_LegacyImages,image high resolution,76148f4f-9081-50de-b927-6b9790fab9cd,e73_LegacyImages
tg:lhbr:171372,d:lh:244287,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_171372,lhbr,e73_LegacyImages,image high resolution,41fee88f-9801-5050-9d96-e0c123467d77,e73_LegacyImages
tg:lhbr:171373,d:lh:244288,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_171373,lhbr,e73_LegacyImages,image high resolution,8ba18db6-1172-5ce8-a17f-2102f51ff755,e73_LegacyImages
tg:lhbr:171471,d:lh:238489,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R564_Robbers_Herman/tg_lhbr_171471,lhbr,e73_LegacyImages,image high resolution,a3efb1ab-7918-5375-9d8c-fa9730639249,e73_LegacyImages
tg:lhbr:173240,d:lh:223477,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/D_/D125_Daisne_Johan/tg_lhbr_173240.tif,lhbr,e73_LegacyImages,image high resolution,3d269dac-295b-5e4d-ac5b-0268b7011e41,e73_LegacyImages
tg:lhbr:173244,d:lh:223476,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/D_/D125_Daisne_Johan/tg_lhbr_173244.tif,lhbr,e73_LegacyImages,image high resolution,a408e370-8571-50d4-b490-99e58cfdacd6,e73_LegacyImages
tg:lhbr:173913,d:lh:285856,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/R_/R71164_Roover_Adriaan_de/tg_lhbr_173913,lhbr,e73_LegacyImages,image high resolution,2e6310e4-a248-52c7-835f-9cb26250e160,e73_LegacyImages
tg:lhbr:174743,d:lh:246675,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B4575_Berghe_Frits_van_den/tg_lhbr_174743,lhbr,e73_LegacyImages,image high resolution,85cd799e-5688-586e-a450-a418179ac7c8,e73_LegacyImages
tg:lhbr:174887,d:lh:238635,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/H_/H1625_Hageman_Victor/tg_lhbr_174887,lhbr,e73_LegacyImages,image high resolution,8b373c28-a48c-5af8-bdeb-8c6aa7f29263,e73_LegacyImages
tg:lhbr:175245,d:lh:251126,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/Y_/Y455_Yoors_Eugeen/tg_lhbr_175245,lhbr,e73_LegacyImages,image high resolution,4c257cc9-25fd-5765-ab7e-3c9ca4004058,e73_LegacyImages
tg:lhbr:175257,d:lh:251096,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/Y_/Y455_Yoors_Eugeen/tg_lhbr_175257,lhbr,e73_LegacyImages,image high resolution,e7150253-b90d-5d74-9dec-a93a34efd008,e73_LegacyImages
tg:lhbr:177286,d:lh:244915,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/P_/P3455_Du_Perron_Edgar/tg_lhbr_177286,lhbr,e73_LegacyImages,image high resolution,8dc37b61-d8d2-5b02-b7d2-c9c95f9e7701,e73_LegacyImages
tg:lhbr:178134,d:lh:238699,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178134.tif,lhbr,e73_LegacyImages,image high resolution,075d2bb5-e54f-5373-a512-e91bf5280eb2,e73_LegacyImages
tg:lhbr:178135,d:lh:238698,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178135.tif,lhbr,e73_LegacyImages,image high resolution,61328b89-c2cc-5ff8-b30b-3c8c1106e717,e73_LegacyImages
tg:lhbr:178136,d:lh:238701,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178136.tif,lhbr,e73_LegacyImages,image high resolution,f27d1048-d20f-52d8-8d79-b96b0a8a62f5,e73_LegacyImages
tg:lhbr:178137,d:lh:238700,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178137.tif,lhbr,e73_LegacyImages,image high resolution,feb4b8d0-f9e5-5ba6-a674-0986aa17f45c,e73_LegacyImages
tg:lhbr:178142,d:lh:238713,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178142.tif,lhbr,e73_LegacyImages,image high resolution,6dbc5bb4-09d6-5a57-968e-7b49cfe312a3,e73_LegacyImages
tg:lhbr:178143,d:lh:238714,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178143.tif,lhbr,e73_LegacyImages,image high resolution,bf0fe2b8-57c5-5761-a505-62d9940a4fda,e73_LegacyImages
tg:lhbr:178144,d:lh:238715,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178144.tif,lhbr,e73_LegacyImages,image high resolution,189dcf19-a9a0-521e-ac37-9da6d4e8101f,e73_LegacyImages
tg:lhbr:178145,d:lh:238716,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178145.tif,lhbr,e73_LegacyImages,image high resolution,814d4dd6-c973-53f8-8345-317514efcc81,e73_LegacyImages
tg:lhbr:178146,d:lh:238717,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178146.tif,lhbr,e73_LegacyImages,image high resolution,e9205463-40d8-54aa-ac40-7c1e1d9335c2,e73_LegacyImages
tg:lhbr:178148,d:lh:238718,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178148.tif,lhbr,e73_LegacyImages,image high resolution,916f97e2-4048-5198-b96b-4072c83d3926,e73_LegacyImages
tg:lhbr:178164,d:lh:238684,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/C_Vos/tg_lhbr_178164.tif,lhbr,e73_LegacyImages,image high resolution,603be641-720f-5ce8-b86a-222679f959d2,e73_LegacyImages
