ResourceID,brocade.id,card,order,number,type,Legacy Information Value,Legacy Information Type,Legacy Information Published
2ac4277e-e1b7-5180-abed-d469fae8ecc1,tg:lhbr:28844,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
d77a1f41-acde-57fd-b5cd-59057cd1ead8,tg:lhbr:11019,e73_LegacyInformationMerged,1,109,brgr,109 brgr,groepsbeschrijving,False
966f7497-0aec-5d4e-8b8f-9665fce4406c,tg:lhbr:241251,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
081a8013-ee94-542a-80b3-fbe3fe17a524,tg:lhbr:262441,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
6cc74ddc-9fd6-586c-acb8-1c97641aa786,tg:lhbr:88911,e73_LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
fef09628-2db8-5570-b5d6-76cd217a0467,tg:lhbr:93256,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
5b60b953-08f9-5f9a-9655-c8027cc9c256,tg:lhbr:251050,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
36bb0c6e-f0dc-5499-8d27-3c514db2b2e9,tg:lhbr:10356,e73_LegacyInformationMerged,1,29,brgr,29 brgr,groepsbeschrijving,False
6cb4be56-1276-5a3e-9bc8-7adf1e05789e,tg:lhbr:33546,e73_LegacyInformationMerged,1,16,brgr,16 brgr,groepsbeschrijving,False
d12338dc-d90d-5520-8975-7d52c6a25f88,tg:lhbr:252242,e73_LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
9773d2b1-bf8e-5916-a700-65808f3f5630,tg:lhbr:124683,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
34528249-9de4-5bfa-acab-698a1a435e8a,tg:lhbr:289476,e73_LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
89f042b2-dce1-5c44-af1a-200a2afc2bfa,tg:lhbr:63926,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
2c92591d-77e7-587b-8e74-e7589d579760,tg:lhbr:6733,e73_LegacyInformationMerged,1,12,brgr,12 brgr,groepsbeschrijving,False
762bd63f-04b6-56dc-988f-df219501a08e,tg:lhbr:251040,e73_LegacyInformationMerged,1,8,brgr,8 brgr,groepsbeschrijving,False
39a72642-89fd-531a-8a0f-93bd611e245f,tg:lhbr:215494,e73_LegacyInformationMerged,1,7,brgr,7 brgr,groepsbeschrijving,False
c8dfb52d-723c-5ede-bcb1-2eae3e6cf9d3,tg:lhbr:283952,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
fafae3cc-a8e8-53c4-9f97-9d6e56f22ceb,tg:lhbr:268184,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
980a48d2-54e7-589a-aabd-c875b111ec0f,tg:lhbr:242053,e73_LegacyInformationMerged,1,18,brgr,18 brgr,groepsbeschrijving,False
77096609-6949-5836-9d20-f58bde7ae626,tg:lhbr:243559,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
7a65db62-f34b-56d4-82f5-c2a9eedf18d8,tg:lhbr:289466,e73_LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
35db7c79-7eda-5db0-84ff-d4fe3c72c946,tg:lhbr:63936,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
4aef746b-11ac-5321-8d2a-f81e0c63c4ec,tg:lhbr:117282,e73_LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
8ea8ed80-1861-56f1-88c4-ea4b4fb8b19e,tg:lhbr:114871,e73_LegacyInformationMerged,1,46,brgr,46 brgr,groepsbeschrijving,False
15179262-d506-5c03-81df-5522486572a3,tg:lhbr:15560,e73_LegacyInformationMerged,1,28,brgr,28 brgr,groepsbeschrijving,False
03eb9673-4b19-5dd5-92e4-9de1df14b5da,tg:lhbr:287091,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
441c20da-f802-55af-ae54-224486f8d601,tg:lhbr:6445,e73_LegacyInformationMerged,1,45,brgr,45 brgr,groepsbeschrijving,False
2cc48668-5576-5d11-b4a2-4faacd1959bb,tg:lhbr:260147,e73_LegacyInformationMerged,1,16,brgr,16 brgr,groepsbeschrijving,False
fca5f91e-a15c-5a31-8bfa-dabfe06a49fa,tg:lhbr:27675,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
1a4ca4d8-f83d-5cc4-8f59-a951f9010949,tg:lhbr:60852,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
4dbe5e3e-debf-5986-a6cc-ead655fb7f86,tg:lhbr:229178,e73_LegacyInformationMerged,1,21,brgr,21 brgr,groepsbeschrijving,False
9ce7257b-3e27-5d02-b0ab-f14a1ca32bbc,tg:lhbr:932,e73_LegacyInformationMerged,1,15,brgr,15 brgr,groepsbeschrijving,False
67e187d1-f8f0-5d33-ae73-53a992ae4bb8,tg:lhbr:228472,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
4d6ce0ef-5c30-536e-ac4f-d309fb9c5c27,tg:lhbr:95504,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
f542a69e-3274-5fb4-84f4-f00314b80f4e,tg:lhbr:52831,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
937ed5d5-96d1-5867-8317-62e96d796ecb,tg:lhbr:7037,e73_LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
9c210ea4-9d44-57cf-bffa-c9f13077b962,tg:lhbr:81429,e73_LegacyInformationMerged,1,13,brgr,13 brgr,groepsbeschrijving,False
1daf28cf-11f1-5ed3-bcd5-a17981a4eb06,tg:lhbr:154566,e73_LegacyInformationMerged,1,78,brgr,78 brgr,groepsbeschrijving,False
434777c2-0673-51da-a3a5-2c45b6c390c5,tg:lhbr:75494,e73_LegacyInformationMerged,1,22,brgr,22 brgr,groepsbeschrijving,False
54f0d2ad-824a-5dce-bbc2-bd91bf7026eb,tg:lhbr:56284,e73_LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
cae377d8-061c-5cb7-ab0a-91cc9a3d5f24,tg:lhbr:246990,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
d225b419-831e-525e-8dc1-b235b9747c55,tg:lhbr:257702,e73_LegacyInformationMerged,1,3,brin,3 brin,groepsbeschrijving,False
33ecf2f2-6939-5894-9d30-178822a9c7a8,tg:lhbr:224583,e73_LegacyInformationMerged,1,7,brgr,7 brgr,groepsbeschrijving,False
e3cc16b7-0a3a-5acb-9d3e-cf8730c5d5f5,tg:lhbr:87994,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
d07faca7-9d8e-5637-b61a-8672fcd090bf,tg:lhbr:275570,e73_LegacyInformationMerged,1,5,brin,5 brin,groepsbeschrijving,False
ae6ae0b7-761d-5d7d-9e7e-bee1483e65f7,tg:lhbr:217192,e73_LegacyInformationMerged,1,8,brgr,8 brgr,groepsbeschrijving,False
cd9cd373-b001-5b7f-b5fc-2998f686bf7e,tg:lhbr:229010,e73_LegacyInformationMerged,1,8,brgr,8 brgr,groepsbeschrijving,False
d4764058-8c21-5f06-a90f-6a6861981e61,tg:lhbr:240555,e73_LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
971568d0-365f-5b6b-8c57-c86937e1b372,tg:lhbr:284293,e73_LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
603eb161-89f1-5b32-afc3-0180d1c95ab6,tg:lhbr:118217,e73_LegacyInformationMerged,1,17,brgr,17 brgr,groepsbeschrijving,False
26bca935-b466-5910-9880-01549efad822,tg:lhbr:246980,e73_LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
fd6aa995-593d-5043-a96e-50579c677988,tg:lhbr:247513,e73_LegacyInformationMerged,1,7,brgr,7 brgr,groepsbeschrijving,False
370420e1-a99d-58f5-ba70-fd8ab1b2ca38,tg:lhbr:204181,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
9ebd0677-2618-5d63-9c4b-dd4985b734fb,tg:lhbr:22606,e73_LegacyInformationMerged,1,31,brgr,31 brgr,groepsbeschrijving,False
30e4e9f1-6c77-581e-9eaa-89378dde7f86,tg:lhbr:61294,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
4db36747-958b-5852-a395-7285ba4983e0,tg:lhbr:62867,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
bf04e099-9346-508a-aa22-c57ddb9aef33,tg:lhbr:133916,e73_LegacyInformationMerged,1,42,brgr,42 brgr,groepsbeschrijving,False
fd3c2391-3db5-51c3-ad1c-042ee103b519,tg:lhbr:240268,e73_LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
14010f8d-5fa8-5533-97a7-1c09e77a310e,tg:lhbr:155741,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
6c2cbe0a-81ba-55a6-9b4d-0615f69f5328,tg:lhbr:267754,e73_LegacyInformationMerged,1,15,brin,15 brin,groepsbeschrijving,False
9c59696a-508d-56c5-888a-faaa90f08e31,tg:lhbr:43817,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
5ab93fc1-248b-5254-9c13-96a1c718d06d,tg:lhbr:52685,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
e1d7c64e-d157-5d04-982b-5161e42fa257,tg:lhbr:175343,e73_LegacyInformationMerged,1,7,brgr,7 brgr,groepsbeschrijving,False
9847f110-baeb-5ba2-ac5b-7c5b79c5a756,tg:lhbr:230393,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
e8b31110-b954-5ca7-bd2e-40b3c31b291a,tg:lhbr:242570,e73_LegacyInformationMerged,1,4,brgr,4 brgr,groepsbeschrijving,False
fb8de9e0-dc94-5b60-be83-771fc513eb6c,tg:lhbr:62086,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
553bb875-8e6c-530a-827f-4a4af20aca1d,tg:lhbr:58228,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
4fbefa55-c5fc-5769-afb7-1cd7521ec080,tg:lhbr:19943,e73_LegacyInformationMerged,1,12,brgr,12 brgr,groepsbeschrijving,False
27389cbe-fe14-5292-9ecf-e12853a5e0ef,tg:lhbr:796,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
232e0730-ed8c-56e1-8fb5-7a2c92675caf,tg:lhbr:240278,e73_LegacyInformationMerged,1,3,brin,3 brin,groepsbeschrijving,False
b6b301d8-0171-593d-8b5e-1e1c83a5fa3e,tg:lhbr:133906,e73_LegacyInformationMerged,1,25,brgr,25 brgr,groepsbeschrijving,False
1577cd84-2aac-5b42-a4b1-312905fe86a2,tg:lhbr:11207,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
0cd24184-2f2f-5c31-9e14-608d51cf81e0,tg:lhbr:101184,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
43696ded-3322-5f67-b0d3-528ae33c6e47,tg:lhbr:243112,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
9b184df5-91c8-5fda-ba9f-4b094a71cd3a,tg:lhbr:61284,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
529f4ef2-3907-5e9b-ab3a-824010d836c4,tg:lhbr:62877,e73_LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
f427d1a1-f695-59e7-817d-d05830d621e8,tg:lhbr:152717,e73_LegacyInformationMerged,1,64,brgr,64 brgr,groepsbeschrijving,False
b0bcfcaf-c436-5e8f-a3fe-a0f88d55c956,tg:lhbr:25728,e73_LegacyInformationMerged,1,60,brgr,60 brgr,groepsbeschrijving,False
63917160-4dca-5b09-9813-892656c63196,tg:lhbr:240300,e73_LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
9fa7b594-8348-5fc2-8121-222d9849b81e,tg:lhbr:221488,e73_LegacyInformationMerged,1,4,brgr,4 brgr,groepsbeschrijving,False
ad4f6b38-0e48-581e-9023-1925c675e5e6,tg:lhbr:62096,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
0a4a8232-b15b-518e-a126-09787e6f8695,tg:lhbr:57852,e73_LegacyInformationMerged,1,20,brgr,20 brgr,groepsbeschrijving,False
75bcc3b4-93be-52fe-b4a4-f65dd821ec42,tg:lhbr:264556,e73_LegacyInformationMerged,1,3,brin,3 brin,groepsbeschrijving,False
38e3af5d-a1f2-5770-8571-f4ff98c5f66d,tg:lhbr:62712,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
03eebb03-f074-5e75-a593-9f093b2a673a,tg:lhbr:123462,e73_LegacyInformationMerged,1,42,brgr,42 brgr,groepsbeschrijving,False
46bdf1a3-8a6b-5dbd-b753-a4afd0934e27,tg:lhbr:237441,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
fbaae945-097b-5c5d-bcf4-2560b28dbe33,tg:lhbr:284342,e73_LegacyInformationMerged,1,0,brin,0 brin,groepsbeschrijving,False
abf8574b-6b6b-5b50-b12b-8df6edc695c2,tg:lhbr:182700,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
c84e0af4-130b-5843-a096-aefa2674c0d8,tg:lhbr:100272,e73_LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
0a0050ab-34e9-51d9-be2b-ede76e235c3e,tg:lhbr:204050,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
9a474897-483c-5170-8579-5fa0f2458a99,tg:lhbr:61478,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
3fbde926-b3eb-5a28-9923-3a510c5e5af0,tg:lhbr:65754,e73_LegacyInformationMerged,1,18,brgr,18 brgr,groepsbeschrijving,False
52c7675d-a15b-5462-a576-30ff712732d3,tg:lhbr:287028,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
e35cb977-c06d-51d7-aba6-c91c61200df0,tg:lhbr:103118,e73_LegacyInformationMerged,1,33,brgr,33 brgr,groepsbeschrijving,False
50887c33-7f1d-5b3d-8b94-17db5e3218ad,tg:lhbr:291765,e73_LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
a59d26c4-b4cc-5917-9910-62847ee1db0e,tg:lhbr:12791,e73_LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
e6cb07ac-2176-5059-9ee1-bfcf88c2b31c,tg:lhbr:215623,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
fc3c157b-0e71-5455-8f7f-20324a38bd91,tg:lhbr:7917,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
be507175-e69f-53dc-912a-f91cd04e66d4,tg:lhbr:63360,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
e8fff8eb-df64-5ea0-bebc-4ac3b45c6d4e,tg:lhbr:60993,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
4af92b60-46ac-51d2-9b6d-a1892c86f28b,tg:lhbr:99524,e73_LegacyInformationMerged,1,15,brgr,15 brgr,groepsbeschrijving,False
950eceec-2c22-503f-9308-3d33df1a4957,tg:lhbr:61500,e73_LegacyInformationMerged,1,10,brgr,10 brgr,groepsbeschrijving,False
75cda41e-9465-586b-837a-3bf8b4b8571f,tg:lhbr:28447,e73_LegacyInformationMerged,1,18,brgr,18 brgr,groepsbeschrijving,False
f5a21aa6-8de9-5e7c-8ef6-fbccc9489a76,tg:lhbr:208828,e73_LegacyInformationMerged,1,23,brgr,23 brgr,groepsbeschrijving,False
c20a7deb-25b1-5faa-a13d-d8410e932b07,tg:lhbr:61468,e73_LegacyInformationMerged,1,12,brgr,12 brgr,groepsbeschrijving,False
891f6786-e684-54ce-bc61-b4214244d6ab,tg:lhbr:132379,e73_LegacyInformationMerged,1,27,brgr,27 brgr,groepsbeschrijving,False
6e502384-db07-53d1-b4c5-646f6b3d4266,tg:lhbr:291775,e73_LegacyInformationMerged,1,241,brgr,241 brgr,groepsbeschrijving,False
99e9fee0-1691-50a3-8c6e-b081e29ba41b,tg:lhbr:201666,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
1564eed9-f588-5e71-bde2-db334a17a795,tg:lhbr:56355,e73_LegacyInformationMerged,1,15,brgr,15 brgr,groepsbeschrijving,False
bf1ba876-5dd5-5c48-a707-158c32ba1b36,tg:lhbr:62702,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
cd3f9d53-ed62-5e9a-8ddb-d150806e8615,tg:lhbr:237451,e73_LegacyInformationMerged,1,7,brgr,7 brgr,groepsbeschrijving,False
7339c81c-5f30-5b32-a88e-a98b1c30dca1,tg:lhbr:123472,e73_LegacyInformationMerged,1,27,brgr,27 brgr,groepsbeschrijving,False
5ec0df05-ad69-5e13-bb74-447c76465ec8,tg:lhbr:129946,e73_LegacyInformationMerged,1,16,brgr,16 brgr,groepsbeschrijving,False
cc016079-2631-5f69-8500-6f4c247b6ecc,tg:lhbr:61510,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
ded317a7-4f98-5507-a09d-89e87ff0cf41,tg:lhbr:120660,e73_LegacyInformationMerged,1,20,brgr,20 brgr,groepsbeschrijving,False
16ce3bf5-5bf8-5ea5-b2fd-0e364f224967,tg:lhbr:208838,e73_LegacyInformationMerged,1,17,brgr,17 brgr,groepsbeschrijving,False
93bdbbc9-ca8d-5276-a0ca-8ef2c32f41f3,tg:lhbr:81480,e73_LegacyInformationMerged,1,19,brgr,19 brgr,groepsbeschrijving,False
5c3e57f1-1763-5916-b33e-6886728192b1,tg:lhbr:214339,e73_LegacyInformationMerged,1,8,brgr,8 brgr,groepsbeschrijving,False
b98a97e1-9dc1-5809-9bac-e608793e8bda,tg:lhbr:63370,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
bd9d66a7-ac9f-5f16-8c0e-c578d4cf8cee,tg:lhbr:60983,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
fd3dcb45-16ee-5079-bb13-aec74f751d7e,tg:lhbr:203643,e73_LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
389303dd-25dd-50ed-92ba-e2211ed3d44b,tg:lhbr:62147,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
ce054713-c0a0-501e-aa1e-d885c9a05e2e,tg:lhbr:237214,e73_LegacyInformationMerged,1,4,brgr,4 brgr,groepsbeschrijving,False
8b8184a6-0dca-519c-8f80-f25fd073adad,tg:lhbr:131656,e73_LegacyInformationMerged,1,41,brgr,41 brgr,groepsbeschrijving,False
4af347e9-c7ec-5d3d-a77e-063367ece55a,tg:lhbr:265814,e73_LegacyInformationMerged,1,3,brin,3 brin,groepsbeschrijving,False
4845d33f-9c58-5290-a450-a27cd63f52d6,tg:lhbr:126411,e73_LegacyInformationMerged,1,34,brgr,34 brgr,groepsbeschrijving,False
dfb526f2-1b81-522e-88fc-d7fe9b07d74f,tg:lhbr:124271,e73_LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
c86f28fb-cfe0-5319-880e-fa72d0734c5f,tg:lhbr:133036,e73_LegacyInformationMerged,1,302,brgr,302 brgr,groepsbeschrijving,False
8048026a-a747-52b8-a366-7cd4836c96c0,tg:lhbr:159761,e73_LegacyInformationMerged,1,12,brgr,12 brgr,groepsbeschrijving,False
084e0218-87c0-5bc3-b100-5fe8a5b42c78,tg:lhbr:213442,e73_LegacyInformationMerged,1,16,brgr,16 brgr,groepsbeschrijving,False
6b05afc7-4ab3-520b-b951-d74e7ff4f713,tg:lhbr:63535,e73_LegacyInformationMerged,1,4,brgr,4 brgr,groepsbeschrijving,False
353af6a0-6bbd-5be6-849e-427cf6926c3b,tg:lhbr:178669,e73_LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
5f083eca-1ee7-5a5e-8516-e878cb4d1b8d,tg:lhbr:61355,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
4a77c7fc-bdb8-5b25-b691-519e17f908ce,tg:lhbr:264497,e73_LegacyInformationMerged,1,6,brin,6 brin,groepsbeschrijving,False
3de8f30a-fe1f-5943-9bad-a74b25fe9507,tg:lhbr:115010,e73_LegacyInformationMerged,1,71,brgr,71 brgr,groepsbeschrijving,False
81778db9-d775-59ee-a8ee-9f609436f239,tg:lhbr:213452,e73_LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
e8d6340d-604e-516e-bd64-f8655e004b89,tg:lhbr:78683,e73_LegacyInformationMerged,1,60,brgr,60 brgr,groepsbeschrijving,False
71c95d6a-37aa-5f32-95b3-9433058b19cf,tg:lhbr:62157,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
6a123930-a6c2-5313-86ad-7da97fd151c7,tg:lhbr:281321,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
c29fae3e-0cbb-5444-ae12-0ee1ea5547c6,tg:lhbr:98713,e73_LegacyInformationMerged,1,19,brgr,19 brgr,groepsbeschrijving,False
687afad8-5360-53b3-8226-0faac16027a3,tg:lhbr:41747,e73_LegacyInformationMerged,1,124,brgr,124 brgr,groepsbeschrijving,False
ffcb5fc7-c792-5158-8b7d-783afd254e9c,tg:lhbr:47373,e73_LegacyInformationMerged,1,25,brgr,25 brgr,groepsbeschrijving,False
47857497-40a4-5191-849a-fd983179eb00,tg:lhbr:106003,e73_LegacyInformationMerged,1,17,brgr,17 brgr,groepsbeschrijving,False
17161423-4a8a-5cf0-981e-4e352515c123,tg:lhbr:61345,e73_LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
d890ce62-53fe-510f-86ea-cea94b48a8c9,tg:lhbr:231630,e73_LegacyInformationMerged,1,13,brgr,13 brgr,groepsbeschrijving,False
9628831e-d9eb-5fdc-82c3-067ee767647d,tg:lhbr:239585,e73_LegacyInformationMerged,1,30,brgr,30 brgr,groepsbeschrijving,False
51ddc529-6a20-5f4b-b912-01983f46e67d,tg:lhbr:215066,e73_LegacyInformationMerged,1,200,brgr,200 brgr,groepsbeschrijving,False
