ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,source_field,source_code,Condition Status,Document status,Object Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1953,permission required
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:2481_#1,https://data.rubenianum.be//ark:/86530/00db22c3-8ce3-545a-9117-7ddef24ba790,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_Archives,1,isad:rub:3013,"dlod={""name"":""Map 1 (AFG_083)"",""ark"":""ark:/86530/x0/b4466abb-bae2-5a1c-9645-36e3140a907c"",""uri"":""/repositories/13/archival_objects/322393"",""id"":""isad:rub:3013"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XVI: M. van Cleve""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_083)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/b4466abb-bae2-5a1c-9645-36e3140a907c,,,,,,,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_DocumentStatus,1,,,,kenmerken.rubedformgr,dtrvfk,,photocopies,,,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_ObjectTypes,2,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1973,permission required
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:906_#1,https://data.rubenianum.be//ark:/86530/01160f5c-4fc2-5157-9af0-9cb29e1715dd,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_Archives,1,isad:rub:2950,"dlod={""name"":""Map 2 (AFG_020)"",""ark"":""ark:/86530/x0/d6f8d586-3f97-55ce-b837-83138c7a61e3"",""uri"":""/repositories/13/archival_objects/315652"",""id"":""isad:rub:2950"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VII: Procession to Calvary / Adoration / Adulteress""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 2 (AFG_020)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/d6f8d586-3f97-55ce-b837-83138c7a61e3,,,,,,,,,,,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1966,permission required
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:5099_#1,https://data.rubenianum.be//ark:/86530/01172542-e5c5-58a3-b3cf-3f90440b88cb,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_Archives,1,isad:rub:3064,"dlod={""name"":""49: Stridbeck Disputation Sweden (AFG_142)"",""ark"":""ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46"",""uri"":""/repositories/13/archival_objects/327850"",""id"":""isad:rub:3064"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""49: Stridbeck Disputation Sweden (AFG_142)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46,,,,,,,,,,,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1956,permission required
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:782_#1,https://data.rubenianum.be//ark:/86530/017b9ebc-242d-5495-8fea-a8d7efab8be0,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_Archives,1,isad:rub:2947,"dlod={""name"":""Map 2 (AFG_017)"",""ark"":""ark:/86530/x0/5f34d27e-7bd6-5644-a631-8da8388d2142"",""uri"":""/repositories/13/archival_objects/315331"",""id"":""isad:rub:2947"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VI: Naples / Babel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 2 (AFG_017)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/5f34d27e-7bd6-5644-a631-8da8388d2142,,,,,,,,,,,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1954,permission required
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:2162_#1,https://data.rubenianum.be//ark:/86530/019d0680-e063-5471-a3e4-63dd64fcc846,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_Archives,1,isad:rub:2990,"dlod={""name"":""Map 1 (AFG_060)"",""ark"":""ark:/86530/x0/7b469c66-9635-5b1d-a0e5-f98af4951af7"",""uri"":""/repositories/13/archival_objects/319932"",""id"":""isad:rub:2990"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XIV: Doubtful and Wrong attributions""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_060)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/7b469c66-9635-5b1d-a0e5-f98af4951af7,,,,,,,,,,,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1957,permission required
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:2241_#1,https://data.rubenianum.be//ark:/86530/01df8a55-6023-5193-8fc4-5cc492c9924b,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_Archives,1,isad:rub:2999,"dlod={""name"":""Map 10 (AFG_069)"",""ark"":""ark:/86530/x0/e1aff9a0-4475-5c82-b3f0-0ccc80a5b242"",""uri"":""/repositories/13/archival_objects/320895"",""id"":""isad:rub:2999"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XIV: Doubtful and Wrong attributions""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 10 (AFG_069)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/e1aff9a0-4475-5c82-b3f0-0ccc80a5b242,,,,,,,,,,,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1960,permission required
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:5112_#1,https://data.rubenianum.be//ark:/86530/01facba8-5924-5c8c-912c-f9d92eb22c8b,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_Archives,1,isad:rub:3064,"dlod={""name"":""49: Stridbeck Disputation Sweden (AFG_142)"",""ark"":""ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46"",""uri"":""/repositories/13/archival_objects/327850"",""id"":""isad:rub:3064"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""49: Stridbeck Disputation Sweden (AFG_142)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46,,,,,,,,,,,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1956,permission required
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:992_#1,https://data.rubenianum.be//ark:/86530/02194706-73d1-5605-aa51-5145cbcf7e82,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_Archives,1,isad:rub:2952,"dlod={""name"":""Map 1 (AFG_022)"",""ark"":""ark:/86530/x0/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0"",""uri"":""/repositories/13/archival_objects/315866"",""id"":""isad:rub:2952"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VIII: Months""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_022)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0,,,,,,,,,,,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1948,permission required
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:5222_#1,https://data.rubenianum.be//ark:/86530/02380e83-fb9e-5a2e-a8de-2ebdf1253539,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_Archives,1,isad:rub:3066,"dlod={""name"":""51: Ortelius - Religion \u0026 Biography (AFG_144)"",""ark"":""ark:/86530/x0/f642d6e4-18bf-51eb-b741-50fd432facc5"",""uri"":""/repositories/13/archival_objects/328064"",""id"":""isad:rub:3066"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""51: Ortelius - Religion \u0026 Biography (AFG_144)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/f642d6e4-18bf-51eb-b741-50fd432facc5,,,,,,,,,,,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1952,permission required
0299a5fa-2fc6-510e-a17a-be38777a8c80,tg:rubgr:4227_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:4227_#1,https://data.rubenianum.be//ark:/86530/0299a5fa-2fc6-510e-a17a-be38777a8c80,,
0299a5fa-2fc6-510e-a17a-be38777a8c80,tg:rubgr:4227_#1,e22_Archives,1,isad:rub:3032,"dlod={""name"":""18: Notes \u0026 Printed Material (AFG_111)"",""ark"":""ark:/86530/x0/eb215666-ab81-548b-b571-aea6154499a0"",""uri"":""/repositories/13/archival_objects/324426"",""id"":""isad:rub:3032"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""18: Notes \u0026 Printed Material (AFG_111)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/eb215666-ab81-548b-b571-aea6154499a0,,,,,,,,,,,,
0299a5fa-2fc6-510e-a17a-be38777a8c80,tg:rubgr:4227_#1,e22_DocumentStatus,2,,,,kenmerken.rubedformgr,dtrvfk,,photocopies,,,,,,,,
0299a5fa-2fc6-510e-a17a-be38777a8c80,tg:rubgr:4227_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
0299a5fa-2fc6-510e-a17a-be38777a8c80,tg:rubgr:4227_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1967,permission required
02bfcfdd-fc8a-53aa-9256-b4b2b2ebc073,tg:rubgr:2705_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:2705_#1,https://data.rubenianum.be//ark:/86530/02bfcfdd-fc8a-53aa-9256-b4b2b2ebc073,,
02bfcfdd-fc8a-53aa-9256-b4b2b2ebc073,tg:rubgr:2705_#1,e22_Archives,1,isad:rub:3015,"dlod={""name"":""1: Months Comparative Material (AFG_085)"",""ark"":""ark:/86530/x0/cca424a1-4510-5c9e-90b2-27751188fab0"",""uri"":""/repositories/13/archival_objects/322607"",""id"":""isad:rub:3015"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""1: Months Comparative Material (AFG_085)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/cca424a1-4510-5c9e-90b2-27751188fab0,,,,,,,,,,,,
02bfcfdd-fc8a-53aa-9256-b4b2b2ebc073,tg:rubgr:2705_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
02bfcfdd-fc8a-53aa-9256-b4b2b2ebc073,tg:rubgr:2705_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1970,permission required
02cce8e5-ab2e-5408-bff2-ad89b1e187fc,tg:rubgr:4329_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:4329_#1,https://data.rubenianum.be//ark:/86530/02cce8e5-ab2e-5408-bff2-ad89b1e187fc,,
02cce8e5-ab2e-5408-bff2-ad89b1e187fc,tg:rubgr:4329_#1,e22_Archives,1,isad:rub:3032,"dlod={""name"":""18: Notes \u0026 Printed Material (AFG_111)"",""ark"":""ark:/86530/x0/eb215666-ab81-548b-b571-aea6154499a0"",""uri"":""/repositories/13/archival_objects/324426"",""id"":""isad:rub:3032"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""18: Notes \u0026 Printed Material (AFG_111)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/eb215666-ab81-548b-b571-aea6154499a0,,,,,,,,,,,,
02cce8e5-ab2e-5408-bff2-ad89b1e187fc,tg:rubgr:4329_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
02cce8e5-ab2e-5408-bff2-ad89b1e187fc,tg:rubgr:4329_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1969,permission required
03809375-8d21-51d1-a101-d68e23ea585f,tg:rubgr:3339_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:3339_#1,https://data.rubenianum.be//ark:/86530/03809375-8d21-51d1-a101-d68e23ea585f,,
03809375-8d21-51d1-a101-d68e23ea585f,tg:rubgr:3339_#1,e22_Archives,1,isad:rub:3019,"dlod={""name"":""5: Introduction - Comparative Material (AFG_093)"",""ark"":""ark:/86530/x0/8d80b7b1-336d-5bf2-a3a2-cc6401a17f73"",""uri"":""/repositories/13/archival_objects/323035"",""id"":""isad:rub:3019"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""5: Introduction - Comparative Material (AFG_093)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/8d80b7b1-336d-5bf2-a3a2-cc6401a17f73,,,,,,,,,,,,
03809375-8d21-51d1-a101-d68e23ea585f,tg:rubgr:3339_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
03809375-8d21-51d1-a101-d68e23ea585f,tg:rubgr:3339_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1962,permission required
03d1e87e-ca57-595f-9736-220a14f2167f,tg:rubgr:22_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:22_#1,https://data.rubenianum.be//ark:/86530/03d1e87e-ca57-595f-9736-220a14f2167f,,
03d1e87e-ca57-595f-9736-220a14f2167f,tg:rubgr:22_#1,e22_Archives,1,isad:rub:2930,"dlod={""name"":""Map 1 (AFG_001)"",""ark"":""ark:/86530/x0/232883ae-1d65-5082-8020-8f39afe8e5a5"",""uri"":""/repositories/13/archival_objects/313512"",""id"":""isad:rub:2930"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""I: Early Landscapes / Tiberias / Sower""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_001)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/232883ae-1d65-5082-8020-8f39afe8e5a5,,,,,,,,,,,,
03d1e87e-ca57-595f-9736-220a14f2167f,tg:rubgr:22_#1,e22_Conditions,1,,,,kenmerken.rubfyformgr,dcfvbe,Beschadigd,,,,,,,,,
03d1e87e-ca57-595f-9736-220a14f2167f,tg:rubgr:22_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
03d1e87e-ca57-595f-9736-220a14f2167f,tg:rubgr:22_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1955,permission required
03eb70ac-72dd-5343-bb1b-0750434b1a88,tg:rubgr:5132_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:5132_#1,https://data.rubenianum.be//ark:/86530/03eb70ac-72dd-5343-bb1b-0750434b1a88,,
03eb70ac-72dd-5343-bb1b-0750434b1a88,tg:rubgr:5132_#1,e22_Archives,1,isad:rub:3065,"dlod={""name"":""50: Glück 50 - Adulteress (AFG_143)"",""ark"":""ark:/86530/x0/965ede06-ccf6-5d66-8c49-d19d4d619c1f"",""uri"":""/repositories/13/archival_objects/327957"",""id"":""isad:rub:3065"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""50: Glück 50 - Adulteress (AFG_143)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/965ede06-ccf6-5d66-8c49-d19d4d619c1f,,,,,,,,,,,,
