card,order,dataset,adm.id_mat,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,adm.acquiredVia,mpm_place_holder,Warehouse Location (begin),adm.isadPartOf,Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language
e22_Items,1,lhob,tg:lhob:163_#1,A 493 / V,bec07c58-4c61-5373-8739-f9d4f98e5a93,bec07c58-4c61-5373-8739-f9d4f98e5a93,tg:lhob:163_#1,tr:lh:6595,166148,V3 B 1 A1,isad:lh:134459,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:440_#1,A 357 / E,366dc523-2d20-5b81-92a0-84628800e68e,366dc523-2d20-5b81-92a0-84628800e68e,tg:lhob:440_#1,tr:lh:2412,46453,,,,,,
e22_Items,1,lhob,tg:lhob:538_#1,G 395 / E,4e8dc0f9-cc29-5fb7-9afd-2f923ab13bcf,4e8dc0f9-cc29-5fb7-9afd-2f923ab13bcf,tg:lhob:538_#1,tr:lh:6603,163537,,,,,,
e22_Items,1,lhob,tg:lhob:91_#1,B 707 / V,197f646c-cdf5-5c8d-96e2-8c5e3e7f17e8,197f646c-cdf5-5c8d-96e2-8c5e3e7f17e8,tg:lhob:91_#1,tr:lh:3240,64.524,V3 B 1 A1,isad:lh:134285,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:528_#1,G 395 / E,bfdca477-656b-57f9-b369-f88b9b94a55d,bfdca477-656b-57f9-b369-f88b9b94a55d,tg:lhob:528_#1,tr:lh:6603,163526,,,,,,
e22_Items,1,lhob,tg:lhob:215_#1,E 285 / V,32ad1e73-b90a-50c3-831a-d28b5bfd6a97,32ad1e73-b90a-50c3-831a-d28b5bfd6a97,tg:lhob:215_#1,,,,isad:lh:112099,,,,
e22_Items,1,lhob,tg:lhob:205_#1,,a80d12c5-347a-58b1-977b-d4170c204456,a80d12c5-347a-58b1-977b-d4170c204456,tg:lhob:205_#1,tr:lh:3755,72192,V3 B 1 A1,isad:lh:134506,Doos 9 / 8,,,
e22_Items,1,lhob,tg:lhob:389_#1,H 635 / V,615a7855-ea34-5cbc-a0c6-120e9428b793,615a7855-ea34-5cbc-a0c6-120e9428b793,tg:lhob:389_#1,tr:lh:2212,42162,V3 B 1 A1,isad:lh:134273,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:399_#1,,0bef8f01-9167-5705-a5e2-e7c9fd2dccc3,0bef8f01-9167-5705-a5e2-e7c9fd2dccc3,tg:lhob:399_#1,tr:lh:2212,42162,V3 B 1 A1,isad:lh:134273,Doos 15 / 43,,,
e22_Items,1,lhob,tg:lhob:75_#1,B 707 / V,05bb14ec-9cbb-54d3-a1c3-8a740e409ef1,05bb14ec-9cbb-54d3-a1c3-8a740e409ef1,tg:lhob:75_#1,tr:lh:3240,64.525,V3 B 1 A1,isad:lh:134285,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:197_#1,J 2547 / V,f12dfba4-ee8d-58c7-8253-6fbcc7616f74,f12dfba4-ee8d-58c7-8253-6fbcc7616f74,tg:lhob:197_#1,tr:lh:9709,,V3 B 1 A1,isad:lh:134493,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:603_#1,S 395 / E,b09623b4-96e1-5820-a944-e994359c0f31,b09623b4-96e1-5820-a944-e994359c0f31,tg:lhob:603_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:613_#1,M 5162 / E,0de9e7e6-d7e0-5a69-a74f-79d69c04a675,0de9e7e6-d7e0-5a69-a74f-79d69c04a675,tg:lhob:613_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:248_#1,L 179 / V,5cdbec1b-c480-59fb-8ee2-8c4326ba341c,5cdbec1b-c480-59fb-8ee2-8c4326ba341c,tg:lhob:248_#1,,220365,V3 B 1 A1,isad:lh:134693,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:330_#1,D 716 / V,f880b806-edf6-5304-9bf1-5580b495d8f0,f880b806-edf6-5304-9bf1-5580b495d8f0,tg:lhob:330_#1,tr:lh:6976,178731,V3 B 1 A1,isad:lh:134590,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:258_#1,V 254 / V,04b6b000-8241-5f1e-87a9-4b5f97da87e4,04b6b000-8241-5f1e-87a9-4b5f97da87e4,tg:lhob:258_#1,,159071,V3 B 1 A1,isad:lh:134703,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:320_#1,M 762 / V,a647bd3c-55db-5d4c-9d1e-cafc3f255d7f,a647bd3c-55db-5d4c-9d1e-cafc3f255d7f,tg:lhob:320_#1,tr:lh:1619,29142,V3 B 1 A1,isad:lh:134449,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:565_#1,S 5621 / E,e89a5893-b6f7-5d34-a485-5d4f30a104da,e89a5893-b6f7-5d34-a485-5d4f30a104da,tg:lhob:565_#1,tr:lh:7740,200981,,,,,,
e22_Items,1,lhob,tg:lhob:575_#1,R 985 / E,2ffc4b0a-cb21-5ea7-90aa-6946eb48bcf5,2ffc4b0a-cb21-5ea7-90aa-6946eb48bcf5,tg:lhob:575_#1,tr:lh:2718,53779,,,,,,
e22_Items,1,lhob,tg:lhob:507_#1,,674a061b-d073-5520-a84d-f42298841e47,674a061b-d073-5520-a84d-f42298841e47,tg:lhob:507_#1,,,,isad:lh:161151,D 4813 / 190,,,
e22_Items,1,lhob,tg:lhob:517_#1,H 6995 / E,f111bb68-ed38-51e8-b2a0-a01c799d3e8b,f111bb68-ed38-51e8-b2a0-a01c799d3e8b,tg:lhob:517_#1,tr:lh:6566,162309,,,,,,
e22_Items,1,lhob,tg:lhob:352_#1,D 716 / V,d72d9142-de09-5ee0-a278-da88a93a9120,d72d9142-de09-5ee0-a278-da88a93a9120,tg:lhob:352_#1,tr:lh:6976,178731,V3 B 1 A1,isad:lh:134590,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:342_#1,,aea68e61-5a26-5693-b6d3-c4356259b6ed,aea68e61-5a26-5693-b6d3-c4356259b6ed,tg:lhob:342_#1,,,V3 B 1 A1,isad:lh:109818,Doos 14 / 23,,,
e22_Items,1,lhob,tg:lhob:661_#1,Y 855/ E,6ef4b6ff-dc83-59b3-aa84-f25773bfa7a0,6ef4b6ff-dc83-59b3-aa84-f25773bfa7a0,tg:lhob:661_#1,tr:lh:4158,80543,,,,,,
e22_Items,1,lhob,tg:lhob:709_#1,T 3465 / V,ceaa86e0-803a-5992-a6e1-f89d9ae970d5,ceaa86e0-803a-5992-a6e1-f89d9ae970d5,tg:lhob:709_#1,tr:lh:140362,,V3 D 1 C,,,,,
e22_Items,1,lhob,tg:lhob:671_#1,J 422 / E,996aa794-a592-5650-88e9-e1920d867528,996aa794-a592-5650-88e9-e1920d867528,tg:lhob:671_#1,tr:lh:6444,158199,,,,,,
e22_Items,1,lhob,tg:lhob:293_#1,,6f2643d8-971e-5fa3-a599-e16f53d2d3ef,6f2643d8-971e-5fa3-a599-e16f53d2d3ef,tg:lhob:293_#1,,203541,V3 B 1 A1,isad:lh:134513,Doos 12 / 22,,,
e22_Items,1,lhob,tg:lhob:283_#1,D 7985 / V,33845049-e1c6-5a56-8b17-4139f70d6dfa,33845049-e1c6-5a56-8b17-4139f70d6dfa,tg:lhob:283_#1,tr:lh:350,7299,V3 B 1 A1,isad:lh:134723,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:694_#1,M 6147 / V,6828cb82-76ce-574a-8600-22e3c8cf6d7d,6828cb82-76ce-574a-8600-22e3c8cf6d7d,tg:lhob:694_#1,tr:lh:140286,,V3 D 1 C,isad:lh:134513,,,,
e22_Items,1,lhob,tg:lhob:684_#1,R 985 / E,64a186b2-fae0-5cdd-8c4f-ef55ce8c6f09,64a186b2-fae0-5cdd-8c4f-ef55ce8c6f09,tg:lhob:684_#1,tr:lh:7398,196043,,,,,,
e22_Items,1,lhob,tg:lhob:433_#1,A 357 / E,d74169b9-6ffd-554c-802e-9659016f2254,d74169b9-6ffd-554c-802e-9659016f2254,tg:lhob:433_#1,tr:lh:2030,37967,,,,,,
e22_Items,1,lhob,tg:lhob:423_#1,A 357 / E,2001e501-ec57-5275-9221-55644c71db25,2001e501-ec57-5275-9221-55644c71db25,tg:lhob:423_#1,,63002/3,,,,,,
e22_Items,1,lhob,tg:lhob:266_#1,D 1175 / V,64586675-7a78-5bb1-acbb-f8ef7db9cd57,64586675-7a78-5bb1-acbb-f8ef7db9cd57,tg:lhob:266_#1,tr:lh:2432,50022,V3 B 1 A1,isad:lh:134709,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:276_#1,G 395 / V,126e3d3d-3cf1-5ef3-8512-ac246e338dd6,126e3d3d-3cf1-5ef3-8512-ac246e338dd6,tg:lhob:276_#1,tr:lh:6341,148060,V3 B 1 A1,isad:lh:123315,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:100_#1,,d901d9fc-8b5b-5647-a6bb-da0dd8989a27,d901d9fc-8b5b-5647-a6bb-da0dd8989a27,tg:lhob:100_#1,tr:lh:2497,,V3 B 1 A1,isad:lh:134273,Doos 2 / 13-15,,,
e22_Items,1,lhob,tg:lhob:110_#1,,97bae174-c76f-5163-b655-b4ac84791262,97bae174-c76f-5163-b655-b4ac84791262,tg:lhob:110_#1,tr:lh:1619,29142 / 1,V3 B 1 A1,isad:lh:134449,Doos 2 / 34,,,
e22_Items,1,lhob,tg:lhob:755_#1,,41fa6d4d-29b5-5805-8198-c7f48627d487,41fa6d4d-29b5-5805-8198-c7f48627d487,tg:lhob:755_#1,,,V3 D 1 B,isad:lh:143566,,,,
e22_Items,1,lhob,tg:lhob:162_#1,C 492 / V,f48d13f7-508c-5968-9d62-3fabc6d48ae8,f48d13f7-508c-5968-9d62-3fabc6d48ae8,tg:lhob:162_#1,tr:lh:2400,45792,V3 B 1 A1,isad:lh:134494,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:172_#1,H 635 / V,22c4f3f2-32fd-5618-ab6d-9a8153327489,22c4f3f2-32fd-5618-ab6d-9a8153327489,tg:lhob:172_#1,tr:lh:2212,42162,V3 B 1 A1,isad:lh:134273,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:204_#1,A 493 / V,f3d9eaaa-a1d4-5258-a905-c5fee65bed01,f3d9eaaa-a1d4-5258-a905-c5fee65bed01,tg:lhob:204_#1,tr:lh:6595,,V3 B 1 A1,isad:lh:134459,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:214_#1,G 395 / V,ce8030f7-36c1-5058-b83f-bfd64968cbfa,ce8030f7-36c1-5058-b83f-bfd64968cbfa,tg:lhob:214_#1,tr:lh:6603,166287,V3 B 1 A1,isad:lh:123315,,,,
e22_Items,1,lhob,tg:lhob:80_#1,C 395 / 427,36a33070-f47c-5c8e-a1b6-0a050b119c95,36a33070-f47c-5c8e-a1b6-0a050b119c95,tg:lhob:80_#1,tr:lh:6928,,V3 B 1 A1,isad:lh:109818,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:529_#1,G 395 / E,26740512-27df-5d0a-8425-c03e58b41103,26740512-27df-5d0a-8425-c03e58b41103,tg:lhob:529_#1,tr:lh:6603,163528,,,,,,
e22_Items,1,lhob,tg:lhob:451_#1,,f622dfe2-d40f-567a-a1a3-9d5fb4337309,f622dfe2-d40f-567a-a1a3-9d5fb4337309,tg:lhob:451_#1,tr:lh:3590,69897,,isad:lh:154724,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:539_#1,G 395 / E,e06e9abc-68be-5664-b230-01cd193c5878,e06e9abc-68be-5664-b230-01cd193c5878,tg:lhob:539_#1,tr:lh:6603,163538,,,,,,
e22_Items,1,lhob,tg:lhob:90_#1,C 363 / V,90cff1e9-a34a-5b74-a05c-7de1fb7f3146,90cff1e9-a34a-5b74-a05c-7de1fb7f3146,tg:lhob:90_#1,tr:lh:4698,89.397 / 2,V3 B 1 A1,isad:lh:134367,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:441_#1,A 357 / E,35013fa3-185e-5725-8d02-fa3e08820813,35013fa3-185e-5725-8d02-fa3e08820813,tg:lhob:441_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:590_#1,S 395 / E,8dd0f6ff-3db4-5d0d-88b0-02608d96025f,8dd0f6ff-3db4-5d0d-88b0-02608d96025f,tg:lhob:590_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:29_#1,C 34 / E,b6884ad7-e0b8-59a8-87fe-91ebb9a42b05,b6884ad7-e0b8-59a8-87fe-91ebb9a42b05,tg:lhob:29_#1,tr:lh:1197,20544,V2 F,,,,,
e22_Items,1,lhob,tg:lhob:580_#1,S 395 / E,a4e271c7-4d78-56ce-948c-6bb47e1cfa14,a4e271c7-4d78-56ce-948c-6bb47e1cfa14,tg:lhob:580_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:612_#1,M 5162 / E,3cf6c720-3c24-5f9d-ba25-87fe9fb47a45,3cf6c720-3c24-5f9d-ba25-87fe9fb47a45,tg:lhob:612_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:602_#1,S 395 / E,efffc42e-6b87-565a-81cb-6b7b0bf3525f,efffc42e-6b87-565a-81cb-6b7b0bf3525f,tg:lhob:602_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:574_#1,R 985 / E,e26aafb7-29af-5960-a8d6-d11fd75d8f9c,e26aafb7-29af-5960-a8d6-d11fd75d8f9c,tg:lhob:574_#1,tr:lh:2718,53783,,,,,,
e22_Items,1,lhob,tg:lhob:564_#1,S 5621 / E,a589ce68-5c41-5bd3-9112-3778892a0016,a589ce68-5c41-5bd3-9112-3778892a0016,tg:lhob:564_#1,tr:lh:7740,200981,,,,,,
e22_Items,1,lhob,tg:lhob:321_#1,H 7653 / V,44c60c2b-ced5-526d-8624-9d922da3044d,44c60c2b-ced5-526d-8624-9d922da3044d,tg:lhob:321_#1,tr:lh:6284,146034,V3 B 1 A1,isad:lh:134769,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:259_#1,V 254 / V,5674cc70-2c30-50bb-8cdc-3969358b02c7,5674cc70-2c30-50bb-8cdc-3969358b02c7,tg:lhob:259_#1,,159071,V3 B 1 A1,isad:lh:134703,,,remarks,Nederlands
