ResourceID,mmb_id_mat,card,order,Acquisition Widget,Archive Widget,Image URL,Image Manifest,Image Manifest Type,Image URL Type,source_field,source_date,Restriction Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Material,Production Technique Type,Object Type,Document status
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/gRQJYNTABg9LwkBKSLhz9XeF,https://dams.antwerpen.be/iiif/gRQJYNTABg9LwkBKSLhz9XeF/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1345_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/00d99340-94c7-5fbf-be9e-7a0856539d00,Doos A.X,,ink,handwriting,letters (correspondence),
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door Baudouin Cols, onbekende datum voor 1974"",""ark"":""ark:/59511/x0/16220524-a9f5-5783-8736-e08c7def502a"",""uri"":""/repositories/15/accessions/15048501"",""id"":""tr:mmb:3"",""date"":""9999-12-31"",""granter"":""Baudouin Cols"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_Archives,1,,"dlod={""name"":""Briefwisseling"",""ark"":""ark:/59511/x0/8541efc9-8127-5738-b096-aecc64d37740"",""uri"":""/repositories/15/archival_objects/20385200"",""id"":""isad:mmb:37"",""capacity"":""Briefwisseling"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/r1Fg9DZLRqIneGbOWbZ1WuAD,https://dams.antwerpen.be/iiif/r1Fg9DZLRqIneGbOWbZ1WuAD/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_UsageRestrictions,,,,,,,,begindatum,1902,permission required,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1084_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,Doos A.VIII,,ink,handwriting,letters (correspondence),
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/B1KVHVLfZcnY5OebKS5ywPXg,https://dams.antwerpen.be/iiif/B1KVHVLfZcnY5OebKS5ywPXg/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_UsageRestrictions,,,,,,,,begindatum,1900,permission required,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1011_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01063073-9f98-532c-ab9e-b9af50c3a3e1,Doos A.VII,,ink,handwriting,letters (correspondence),
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/w1Uta3WAOobJcWGaYNLHHF5s#id,https://dams.antwerpen.be/iiif/w1Uta3WAOobJcWGaYNLHHF5s#id/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_UsageRestrictions,,,,,,,,begindatum,1899,permission required,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2201_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0135d133-2c2b-5e7b-87d8-e9409a8caaa3,Doos A.XVI,,ink,handwriting,visiting cards,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_Archives,1,,"dlod={""name"":""Correspondence III"",""ark"":""ark:/59511/x0/bb6c0979-be3d-5a56-8736-c1057dab3bd4"",""uri"":""/repositories/15/archival_objects/20385182"",""id"":""isad:mmb:19"",""capacity"":""Correspondence III"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/TPbINZtbZlKRVfaZZiLB8OkY,https://dams.antwerpen.be/iiif/TPbINZtbZlKRVfaZZiLB8OkY/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_UsageRestrictions,,,,,,,,begindatum,,permission required,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1921_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0137e0c5-3324-5127-9f6f-a55ca9d03326,Doos A.XIV,,ink,handwriting,postcards,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_Archives,1,,"dlod={""name"":""Correspondence I"",""ark"":""ark:/59511/x0/47cc74ba-4ebd-5edf-9b51-2fb0c51e8ba1"",""uri"":""/repositories/15/archival_objects/20385180"",""id"":""isad:mmb:17"",""capacity"":""Correspondence I"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/v1dtcVqFaDgUhDQbgenAoCS9,https://dams.antwerpen.be/iiif/v1dtcVqFaDgUhDQbgenAoCS9/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1885_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/014a3a82-e682-5e1d-98dd-003bd7e2c081,Doos A.XIV,,ink,handwriting,postcards,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_Archives,1,,"dlod={""name"":""Correspondence I"",""ark"":""ark:/59511/x0/47cc74ba-4ebd-5edf-9b51-2fb0c51e8ba1"",""uri"":""/repositories/15/archival_objects/20385180"",""id"":""isad:mmb:17"",""capacity"":""Correspondence I"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/H1H4VWiHCi9sLRHpOHpDCZFq,https://dams.antwerpen.be/iiif/H1H4VWiHCi9sLRHpOHpDCZFq/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:832_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/016a7ca7-a192-506f-a15d-bf8ef3b2abfa,Doos A.VI,,ink,handwriting,letters (correspondence),
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/V1tXqmbSldQhSMfKV6BtRWkr,https://dams.antwerpen.be/iiif/V1tXqmbSldQhSMfKV6BtRWkr/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_UsageRestrictions,,,,,,,,begindatum,1897,permission required,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1664_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/016fda96-fcab-5fbc-b07b-8d724bc44ab8,Doos A.XII,,ink,handwriting,letters (correspondence),
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_Archives,1,,"dlod={""name"":""Briefwisseling en financiële dossiers"",""ark"":""ark:/59511/x0/b00fc718-5bea-5d3c-b919-b8505de83510"",""uri"":""/repositories/15/archival_objects/20385168"",""id"":""isad:mmb:5"",""capacity"":""Briefwisseling en financiële dossiers"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/b1QdCSWSSHucChWUWZiFcPrR,https://dams.antwerpen.be/iiif/b1QdCSWSSHucChWUWZiFcPrR/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_UsageRestrictions,,,,,,,,begindatum,1890,open,,,,,,,,,,
01948617-94c4-5139-903d-298dc005ee4b,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2242_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01948617-94c4-5139-903d-298dc005ee4b,Doos A.XVII,,ink,handwriting,letters (correspondence),
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_Archives,1,,"dlod={""name"":""Correspondence III"",""ark"":""ark:/59511/x0/bb6c0979-be3d-5a56-8736-c1057dab3bd4"",""uri"":""/repositories/15/archival_objects/20385182"",""id"":""isad:mmb:19"",""capacity"":""Correspondence III"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/A1KKljYpCURPaQuSyWf7f02Y,https://dams.antwerpen.be/iiif/A1KKljYpCURPaQuSyWf7f02Y/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_UsageRestrictions,,,,,,,,begindatum,,permission required,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:443_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01cc9d61-8d63-5a99-bfed-e53310b7a28f,Doos A.III,,ink,handwriting,letters (correspondence),
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/q1unaJ3KSNWkbajNeGBoUvHD#id,https://dams.antwerpen.be/iiif/q1unaJ3KSNWkbajNeGBoUvHD#id/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
01cc9d61-8d63-5a99-bfed-e53310b7a28f,tg:mmbbr:443_#1,e22_UsageRestrictions,,,,,,,,begindatum,1894,permission required,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:920_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01d31050-badc-50ae-81e1-6e16c8de474e,Doos A.VII,,ink,handwriting,letters (correspondence),
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/NLNLMLVA8eUCNSVKRCOW44Rr,https://dams.antwerpen.be/iiif/NLNLMLVA8eUCNSVKRCOW44Rr/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
01d31050-badc-50ae-81e1-6e16c8de474e,tg:mmbbr:920_#1,e22_UsageRestrictions,,,,,,,,begindatum,1899,permission required,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:657_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01faacaf-f492-51d2-a477-a3e67206beac,Doos A.V,,ink,handwriting,letters (correspondence),
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/h1sYUTiQCX6NUvlPYFntr3iR,https://dams.antwerpen.be/iiif/h1sYUTiQCX6NUvlPYFntr3iR/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
01faacaf-f492-51d2-a477-a3e67206beac,tg:mmbbr:657_#1,e22_UsageRestrictions,,,,,,,,begindatum,1896,permission required,,,,,,,,,,
024bca8a-1f05-52ff-89d6-ae89e57960f5,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2303_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/024bca8a-1f05-52ff-89d6-ae89e57960f5,Doos A.XVII,,ink,handwriting,letters (correspondence),
024bca8a-1f05-52ff-89d6-ae89e57960f5,tg:mmbbr:2303_#1,e22_Archives,1,,"dlod={""name"":""Correspondence III"",""ark"":""ark:/59511/x0/bb6c0979-be3d-5a56-8736-c1057dab3bd4"",""uri"":""/repositories/15/archival_objects/20385182"",""id"":""isad:mmb:19"",""capacity"":""Correspondence III"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
024bca8a-1f05-52ff-89d6-ae89e57960f5,tg:mmbbr:2303_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/J2TIkjMWbX5ZQdJUWfFtViMr,https://dams.antwerpen.be/iiif/J2TIkjMWbX5ZQdJUWfFtViMr/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
024bca8a-1f05-52ff-89d6-ae89e57960f5,tg:mmbbr:2303_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,
025dc9a8-ec3d-57ae-95e3-8a1156372341,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1326_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/025dc9a8-ec3d-57ae-95e3-8a1156372341,Doos A.X,,ink,handwriting,letters (correspondence),
025dc9a8-ec3d-57ae-95e3-8a1156372341,tg:mmbbr:1326_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door Baudouin Cols, onbekende datum voor 1974"",""ark"":""ark:/59511/x0/16220524-a9f5-5783-8736-e08c7def502a"",""uri"":""/repositories/15/accessions/15048501"",""id"":""tr:mmb:3"",""date"":""9999-12-31"",""granter"":""Baudouin Cols"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,
025dc9a8-ec3d-57ae-95e3-8a1156372341,tg:mmbbr:1326_#1,e22_Archives,1,,"dlod={""name"":""Briefwisseling"",""ark"":""ark:/59511/x0/bce522cd-9f33-56a7-b7c9-e0fbd671ae1a"",""uri"":""/repositories/15/archival_objects/20385196"",""id"":""isad:mmb:33"",""capacity"":""Briefwisseling"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
025dc9a8-ec3d-57ae-95e3-8a1156372341,tg:mmbbr:1326_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/sgLpCPotP7BgQXRjdOk5skfe,https://dams.antwerpen.be/iiif/sgLpCPotP7BgQXRjdOk5skfe/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
025dc9a8-ec3d-57ae-95e3-8a1156372341,tg:mmbbr:1326_#1,e22_UsageRestrictions,,,,,,,,begindatum,1906,permission required,,,,,,,,,,
026c1e3d-db1c-5249-8dc8-cf7f3ce6e26a,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1980_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/026c1e3d-db1c-5249-8dc8-cf7f3ce6e26a,Doos A.XV,,ink,handwriting,postcards,
026c1e3d-db1c-5249-8dc8-cf7f3ce6e26a,tg:mmbbr:1980_#1,e22_Archives,1,,"dlod={""name"":""Correspondence II"",""ark"":""ark:/59511/x0/6371a7db-4bff-547d-accb-6e38f703fb3c"",""uri"":""/repositories/15/archival_objects/20385181"",""id"":""isad:mmb:18"",""capacity"":""Correspondence II"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
026c1e3d-db1c-5249-8dc8-cf7f3ce6e26a,tg:mmbbr:1980_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/U1OYdOPkVaMlVHQfLsrnjq7h,https://dams.antwerpen.be/iiif/U1OYdOPkVaMlVHQfLsrnjq7h/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
026c1e3d-db1c-5249-8dc8-cf7f3ce6e26a,tg:mmbbr:1980_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,
02907213-0484-51db-b78d-7cf8582a1941,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:76_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/02907213-0484-51db-b78d-7cf8582a1941,Doos A.I,,ink,handwriting,letters (correspondence),
02907213-0484-51db-b78d-7cf8582a1941,tg:mmbbr:76_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
02907213-0484-51db-b78d-7cf8582a1941,tg:mmbbr:76_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/BpiWclrD4vxNjjkcgUqXJsLS#id,https://dams.antwerpen.be/iiif/BpiWclrD4vxNjjkcgUqXJsLS#id/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
02907213-0484-51db-b78d-7cf8582a1941,tg:mmbbr:76_#1,e22_UsageRestrictions,,,,,,,,begindatum,1888,open,,,,,,,,,,
02932eeb-b887-5a66-ac13-a17a634ccf9c,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2353_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/02932eeb-b887-5a66-ac13-a17a634ccf9c,Doos A.XVII,,pencils (drawing and writing equipment),handwriting,visiting cards,
02932eeb-b887-5a66-ac13-a17a634ccf9c,tg:mmbbr:2353_#1,e22_Archives,1,,"dlod={""name"":""Correspondence IV"",""ark"":""ark:/59511/x0/869b3d3f-de15-56d3-bafb-9134feab2172"",""uri"":""/repositories/15/archival_objects/20385183"",""id"":""isad:mmb:20"",""capacity"":""Correspondence IV"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
02932eeb-b887-5a66-ac13-a17a634ccf9c,tg:mmbbr:2353_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/TNamOsriFBlTHKnxSm2lwHFf,https://dams.antwerpen.be/iiif/TNamOsriFBlTHKnxSm2lwHFf/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
02932eeb-b887-5a66-ac13-a17a634ccf9c,tg:mmbbr:2353_#1,e22_UsageRestrictions,,,,,,,,begindatum,,permission required,,,,,,,,,,
0298298b-5768-57bd-b388-71ecd01238a8,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1028_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0298298b-5768-57bd-b388-71ecd01238a8,Doos A.VII,,ink,handwriting,letters (correspondence),
0298298b-5768-57bd-b388-71ecd01238a8,tg:mmbbr:1028_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
0298298b-5768-57bd-b388-71ecd01238a8,tg:mmbbr:1028_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/M1MEbdKcsHiPnpkOpbOvdIyn,https://dams.antwerpen.be/iiif/M1MEbdKcsHiPnpkOpbOvdIyn/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
0298298b-5768-57bd-b388-71ecd01238a8,tg:mmbbr:1028_#1,e22_UsageRestrictions,,,,,,,,begindatum,1900,permission required,,,,,,,,,,
