ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Title Language,Record Type,Annotation Type,Annotation Language,Annotation,Description Type,Description Language,Description,au_code,au_name,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Start Date,End Date,Connected Subject Role,Connected Subject Widget
01387253-bbda-50a3-8790-18c69b47734d,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01387253-bbda-50a3-8790-18c69b47734d,e73_CreationTimeSpans,tg:mmbdc:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902-05-08,,,
01387253-bbda-50a3-8790-18c69b47734d,e73_MaterialRecords,tg:mmbdc:1,1,,,,,,,276ac32f-6efb-5018-81e5-6c720c63ec86,tg:mmbdc:1_#1,"[{""resourceId"": ""276ac32f-6efb-5018-81e5-6c720c63ec86"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9bbca222-f98a-4f10-b9da-6ee7bc5c00d3"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,AA,tg:mmbdc:159,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0476e0a0-d09a-5804-ba82-deb196a90f13,object identifier,tg:mmbdc:159,record identifiers,MMB.A.2498,constructed titles,Inventaris: Werken uit de collectie Micheli,Dutch (language),Documenten,,,,descriptive note,Nederlands,Collectie aangekocht in Parijs 1898,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_Copyrights,tg:mmbdc:159,,begindatum,,,,,,,,,1898,No Known Copyright,2013,,,,,,,,,,,,,,,,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_CreationActors,tg:mmbdc:159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115717:1,"Micheli, Marie",authors,,"dlod={""suggest"":[""/agents/people/12220621"",""au::115717"",""au::115717:1"",""ark:/83110/x0/859178bd-d82a-5c18-8d3a-8873a92f7f5b"",""Marie Micheli"",""ark:/83110/x0/a9727015-ea3c-5af4-ae16-3bd8e87065a2""],""name"":""Marie Micheli"",""ark"":""ark:/83110/x0/a9727015-ea3c-5af4-ae16-3bd8e87065a2"",""uri"":""/agents/people/12220621"",""id"":""au::115717:1"",""resourceArk"":""ark:/83110/x0/859178bd-d82a-5c18-8d3a-8873a92f7f5b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_CreationTimeSpans,tg:mmbdc:159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,,,
0476e0a0-d09a-5804-ba82-deb196a90f13,e73_MaterialRecords,tg:mmbdc:159,1,,,,,,,97ba37de-55f5-57ce-ad51-8119e6255eda,tg:mmbdc:159_#1,"[{""resourceId"": ""97ba37de-55f5-57ce-ad51-8119e6255eda"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bbfeead2-7927-4074-be68-702667ff994f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,AA,tg:mmbdc:69,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/05df2589-1585-5594-bc8a-31b756a2b8f6,object identifier,tg:mmbdc:69,record identifiers,MMB.A.1460,constructed titles,Rekening bureaubenodigdheden voor de Sint Henricusstichting,Dutch (language),Documenten,,,,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_Copyrights,tg:mmbdc:69,,begindatum,,,,,,,,,1904,No Known Copyright,2019,,,,,,,,,,,,,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_CreationActors,tg:mmbdc:69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::44350:1,Gebr. Dieltjens,authors,,"dlod={""suggest"":[""/agents/corporate_entities/4745450"",""au::44350"",""au::44350:1"",""ark:/83110/x0/95706e82-4737-5a63-8989-1211aa160549"",""Gebr. Dieltjens"",""ark:/83110/x0/164903f9-7902-55e4-90bb-6674d1c72d9b""],""name"":""Gebr. Dieltjens"",""ark"":""ark:/83110/x0/164903f9-7902-55e4-90bb-6674d1c72d9b"",""uri"":""/agents/corporate_entities/4745450"",""id"":""au::44350:1"",""resourceArk"":""ark:/83110/x0/95706e82-4737-5a63-8989-1211aa160549"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_CreationTimeSpans,tg:mmbdc:69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-12-31,,,
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_MaterialRecords,tg:mmbdc:69,1,,,,,,,46e853d2-29f4-57b5-b107-bff761144d70,tg:mmbdc:69_#1,"[{""resourceId"": ""46e853d2-29f4-57b5-b107-bff761144d70"", ""ontologyProperty"": """", ""resourceXresourceId"": ""160b5dd0-218a-44d7-99c3-9d9a62a665de"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,AA,tg:mmbdc:130,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,object identifier,tg:mmbdc:130,record identifiers,MMB.A.1665,constructed titles,"Overeenkomst tussen Fritz Mayer van den Bergh en Lambrechts, tapijtrestaurateur, voor de restauratie van een wandtapijt voorstellende de Geboorte van Jezus",Dutch (language),Documenten,remarks,Nederlands,MMB.0954,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_ConnectedSubjects,tg:mmbdc:130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115316:1,"Lambrechts, Arthur",,,,,,subjects (content of works),"dlod={""suggest"":[""/agents/people/12220416"",""au::115316"",""au::115316:1"",""ark:/83110/x0/995a8f2b-ea92-5efd-b9c8-a2fc4c410c41"",""Arthur Lambrechts"",""ark:/83110/x0/1617b32d-2f8a-560b-92ed-ac9aa70758e8""],""name"":""Arthur Lambrechts"",""ark"":""ark:/83110/x0/1617b32d-2f8a-560b-92ed-ac9aa70758e8"",""uri"":""/agents/people/12220416"",""id"":""au::115316:1"",""resourceArk"":""ark:/83110/x0/995a8f2b-ea92-5efd-b9c8-a2fc4c410c41"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_Copyrights,tg:mmbdc:130,,begindatum,,,,,,,,,1893,No Known Copyright,2008,,,,,,,,,,,,,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_CreationActors,tg:mmbdc:130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",authors,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh"",""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""resourceArk"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_CreationTimeSpans,tg:mmbdc:130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893-07-06,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_ExternalRelations,tg:mmbdc:130,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0954,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_MaterialRecords,tg:mmbdc:130,1,,,,,,,2259aad3-ca05-5180-a684-1726b89be913,tg:mmbdc:130_#1,"[{""resourceId"": ""2259aad3-ca05-5180-a684-1726b89be913"", ""ontologyProperty"": """", ""resourceXresourceId"": ""429a167a-5747-4cc6-a219-42f331fb61ad"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,AA,tg:mmbdc:70,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,object identifier,tg:mmbdc:70,record identifiers,MMB.A.1461,constructed titles,Rekening medische benodigdheden voor de Sint Henricusstichting,Dutch (language),Documenten,,,,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_Copyrights,tg:mmbdc:70,,begindatum,,,,,,,,,1904,No Known Copyright,2019,,,,,,,,,,,,,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_CreationActors,tg:mmbdc:70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roland & Bervoets,authors,Roland & Bervoets (Auteur),,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_CreationTimeSpans,tg:mmbdc:70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-12-31,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_MaterialRecords,tg:mmbdc:70,1,,,,,,,d6a0a077-1ab3-5f47-a310-14e003d32cb5,tg:mmbdc:70_#1,"[{""resourceId"": ""d6a0a077-1ab3-5f47-a310-14e003d32cb5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""989af471-c68a-40b8-a3bc-b6b65eed51d9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,AA,tg:mmbdc:150,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0cdf7c18-ded1-5edb-8553-1f9a4750c805,object identifier,tg:mmbdc:150,record identifiers,MMB.A.2489,titles proper,"Van Mieris, Guillaume. Le galant malhonnête",French (language),Documenten,,,,descriptive note,Nederlands,Ontwerptekst voor de catalogus schilderijen 1909,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_Copyrights,tg:mmbdc:150,,begindatum,,,,,,,,,1904,No Known Copyright,2019,,,,,,,,,,,,,,,,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_CreationActors,tg:mmbdc:150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::5179:1,"Delbeke, August",authors,,"dlod={""suggest"":[""/agents/people/554153"",""au::5179"",""au::5179:1"",""ark:/83110/x0/0247daf1-3723-5112-b386-c97178556126"",""August Delbeke"",""ark:/83110/x0/d24b28cd-bad0-596d-b33a-0bacd3bf50d5""],""name"":""August Delbeke"",""ark"":""ark:/83110/x0/d24b28cd-bad0-596d-b33a-0bacd3bf50d5"",""uri"":""/agents/people/554153"",""id"":""au::5179:1"",""resourceArk"":""ark:/83110/x0/0247daf1-3723-5112-b386-c97178556126"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_CreationTimeSpans,tg:mmbdc:150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_MaterialRecords,tg:mmbdc:150,1,,,,,,,c68a31e5-f476-5ff8-8953-265daa26d392,tg:mmbdc:150_#1,"[{""resourceId"": ""c68a31e5-f476-5ff8-8953-265daa26d392"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dc2aa9b4-9993-4487-8569-cd99a875f211"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,AA,tg:mmbdc:134,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0e36645d-5a76-578b-b102-2e9a72d2d391,object identifier,tg:mmbdc:134,record identifiers,MMB.A.1670,constructed titles,Ontvangstbewijs zilveren werken,Dutch (language),Documenten,,,,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_ConnectedSubjects,tg:mmbdc:134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",,,,,,subjects (content of works),"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh"",""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""resourceArk"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_Copyrights,tg:mmbdc:134,,begindatum,,,,,,,,,1898,No Known Copyright,2013,,,,,,,,,,,,,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_CreationActors,tg:mmbdc:134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115317:1,"Waegeningh, François van",authors,,"dlod={""suggest"":[""/agents/people/12220426"",""au::115317"",""au::115317:1"",""ark:/83110/x0/aa8d5820-f670-525f-b00c-0d32368aec69"",""François van Waegeningh"",""ark:/83110/x0/f7371280-19fc-5f97-947a-724791b2b082""],""name"":""François van Waegeningh"",""ark"":""ark:/83110/x0/f7371280-19fc-5f97-947a-724791b2b082"",""uri"":""/agents/people/12220426"",""id"":""au::115317:1"",""resourceArk"":""ark:/83110/x0/aa8d5820-f670-525f-b00c-0d32368aec69"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_CreationPlaces,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_CreationTimeSpans,tg:mmbdc:134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898-03-03,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_MaterialRecords,tg:mmbdc:134,1,,,,,,,268e406e-6525-5782-b2da-0d76cc8657b3,tg:mmbdc:134_#1,"[{""resourceId"": ""268e406e-6525-5782-b2da-0d76cc8657b3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d03153ae-8c79-48d1-abce-5c8ed40b5282"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,AA,tg:mmbdc:66,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/108756f8-64b4-506a-9f98-ceb3ef00390d,object identifier,tg:mmbdc:66,record identifiers,MMB.A.1457,constructed titles,Rekening medische instrumenten voor de Sint Henricusstichting,Dutch (language),Documenten,,,,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_Copyrights,tg:mmbdc:66,,begindatum,,,,,,,,,1905,No Known Copyright,2020,,,,,,,,,,,,,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_CreationActors,tg:mmbdc:66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drosten, Robert",authors,"Drosten, Robert (Auteur)",,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_CreationTimeSpans,tg:mmbdc:66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905-01-06,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_MaterialRecords,tg:mmbdc:66,1,,,,,,,acb05eb8-b42c-54e5-8ebe-ee2cce55dae0,tg:mmbdc:66_#1,"[{""resourceId"": ""acb05eb8-b42c-54e5-8ebe-ee2cce55dae0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2365da01-e474-494a-9c26-3e33f08bc6ab"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,AA,tg:mmbdc:9,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/11be8398-f75a-5694-b7b2-2b0eedf24850,object identifier,tg:mmbdc:9,record identifiers,MMB.A.1197,constructed titles,Doodsbrief Henriëtte Mayer van den Bergh,Dutch (language),Documenten,,,,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_ConnectedSubjects,tg:mmbdc:9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",,,,,,subjects (content of works),"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_Copyrights,tg:mmbdc:9,,begindatum,,,,,,,,,1920,In Copyright,2035,,,,,,,,,,,,,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_CreationTimeSpans,tg:mmbdc:9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-03-29,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_MaterialRecords,tg:mmbdc:9,1,,,,,,,ec82374f-68ed-587e-89c7-8d657c97fad2,tg:mmbdc:9_#1,"[{""resourceId"": ""ec82374f-68ed-587e-89c7-8d657c97fad2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4048f804-d04e-4383-b46d-8535616f223c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,AA,tg:mmbdc:82,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1383d707-43bc-571d-919e-7f0dd9994e4f,object identifier,tg:mmbdc:82,record identifiers,MMB.A.1475,constructed titles,Rekening smeedwerk voor de Sint Fredericusstichting,Dutch (language),Documenten,,,,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_Copyrights,tg:mmbdc:82,,begindatum,,,,,,,,,1916,In Copyright,2031,,,,,,,,,,,,,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_CreationActors,tg:mmbdc:82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dessel, Frans van",authors,"Dessel, Frans van (Auteur)",,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_CreationPlaces,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_CreationTimeSpans,tg:mmbdc:82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916-12-31,,,
