ResourceID,mmb_id_mat,card,order,Acquisition Widget,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type
0aa0fe80-a3de-590d-a912-829862db9c38,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:46_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0aa0fe80-a3de-590d-a912-829862db9c38,Doos A.IX,,scripts (documents)
0aa0fe80-a3de-590d-a912-829862db9c38,tg:mmbdc:46_#1,e22_Archives,1,,"dlod={""name"":""Familieberichten"",""ark"":""ark:/59511/x0/5967b833-75f7-50ed-b538-ee77f6d4d6f1"",""uri"":""/repositories/15/archival_objects/20385204"",""id"":""isad:mmb:41"",""capacity"":""Familieberichten"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
0aa0fe80-a3de-590d-a912-829862db9c38,,e22_Dimensions,,,,210 x 165 mm,210,hoogte,millimeters,,,,,,,,,,,,,,
0aa0fe80-a3de-590d-a912-829862db9c38,,e22_Dimensions,,,,210 x 165 mm,165,breedte,millimeters,,,,,,,,,,,,,,
0aa0fe80-a3de-590d-a912-829862db9c38,tg:mmbdc:46_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/u1c7NF9dTVRSVSqcutxHXISV,https://dams.antwerpen.be/iiif/u1c7NF9dTVRSVSqcutxHXISV/manifest,DAMS Manifest,DAMS Image,,,,,,,
0aa0fe80-a3de-590d-a912-829862db9c38,tg:mmbdc:46_#1,e22_UsageRestrictions,,,,,,,,begindatum,1905,permission required,,,,,,,,,,,
0b709b78-cc59-59d6-a0ea-0e08541230fa,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:15_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0b709b78-cc59-59d6-a0ea-0e08541230fa,Doos A.IX,,obituaries
0b709b78-cc59-59d6-a0ea-0e08541230fa,tg:mmbdc:15_#1,e22_Archives,1,,"dlod={""name"":""Familieberichten"",""ark"":""ark:/59511/x0/5967b833-75f7-50ed-b538-ee77f6d4d6f1"",""uri"":""/repositories/15/archival_objects/20385204"",""id"":""isad:mmb:41"",""capacity"":""Familieberichten"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
0b709b78-cc59-59d6-a0ea-0e08541230fa,,e22_Dimensions,,,,108 x 70 mm,108,hoogte,millimeters,,,,,,,,,,,,,,
0b709b78-cc59-59d6-a0ea-0e08541230fa,,e22_Dimensions,,,,108 x 70 mm,70,breedte,millimeters,,,,,,,,,,,,,,
0b709b78-cc59-59d6-a0ea-0e08541230fa,tg:mmbdc:15_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/N186SqTDYcRinPBrYixEh1vk,https://dams.antwerpen.be/iiif/N186SqTDYcRinPBrYixEh1vk/manifest,DAMS Manifest,DAMS Image,,,,,,,
0b709b78-cc59-59d6-a0ea-0e08541230fa,tg:mmbdc:15_#1,e22_UsageRestrictions,,,,,,,,begindatum,1913,permission required,,,,,,,,,,,
0ced21dc-67bf-5d73-8344-d7c3172d51d8,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:79_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0ced21dc-67bf-5d73-8344-d7c3172d51d8,Doos A.XI,,financial records
0ced21dc-67bf-5d73-8344-d7c3172d51d8,tg:mmbdc:79_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door Baudouin Cols, onbekende datum voor 1974"",""ark"":""ark:/59511/x0/16220524-a9f5-5783-8736-e08c7def502a"",""uri"":""/repositories/15/accessions/15048501"",""id"":""tr:mmb:3"",""date"":""9999-12-31"",""granter"":""Baudouin Cols"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,,
0ced21dc-67bf-5d73-8344-d7c3172d51d8,tg:mmbdc:79_#1,e22_Archives,1,,"dlod={""name"":""Financiële dossiers"",""ark"":""ark:/59511/x0/2b3b7aff-3658-5709-b24b-f25dd3444095"",""uri"":""/repositories/15/archival_objects/20385199"",""id"":""isad:mmb:36"",""capacity"":""Financiële dossiers"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
0ced21dc-67bf-5d73-8344-d7c3172d51d8,,e22_Dimensions,,,,181 x 218 mm,181,hoogte,millimeters,,,,,,,,,,,,,,
0ced21dc-67bf-5d73-8344-d7c3172d51d8,,e22_Dimensions,,,,181 x 218 mm,218,breedte,millimeters,,,,,,,,,,,,,,
0ced21dc-67bf-5d73-8344-d7c3172d51d8,tg:mmbdc:79_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/m1JMaXQRNdbPGiNESZ0nAyHZ,https://dams.antwerpen.be/iiif/m1JMaXQRNdbPGiNESZ0nAyHZ/manifest,DAMS Manifest,DAMS Image,,,,,,,
0ced21dc-67bf-5d73-8344-d7c3172d51d8,tg:mmbdc:79_#1,e22_UsageRestrictions,,,,,,,,begindatum,1914,permission required,,,,,,,,,,,
0e868a89-1da8-534a-bcbd-be9849ce6df6,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:131_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0e868a89-1da8-534a-bcbd-be9849ce6df6,Doos A.XII,,files (document groupings)
0e868a89-1da8-534a-bcbd-be9849ce6df6,tg:mmbdc:131_#1,e22_Archives,1,,"dlod={""name"":""Losse notities"",""ark"":""ark:/59511/x0/118ad384-8a4c-51fb-9a9c-5d85ec0cd339"",""uri"":""/repositories/15/archival_objects/20385175"",""id"":""isad:mmb:12"",""capacity"":""Losse notities"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
0e868a89-1da8-534a-bcbd-be9849ce6df6,,e22_Dimensions,,,,133 x 123 mm,133,hoogte,millimeters,,,,,,,,,,,,,,
0e868a89-1da8-534a-bcbd-be9849ce6df6,,e22_Dimensions,,,,133 x 123 mm,123,breedte,millimeters,,,,,,,,,,,,,,
0e868a89-1da8-534a-bcbd-be9849ce6df6,tg:mmbdc:131_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/LWYLXIWhImUhYUPNOm7uFL81,https://dams.antwerpen.be/iiif/LWYLXIWhImUhYUPNOm7uFL81/manifest,DAMS Manifest,DAMS Image,,,,,,,
0e868a89-1da8-534a-bcbd-be9849ce6df6,tg:mmbdc:131_#1,e22_UsageRestrictions,,,,,,,,begindatum,1897,permission required,,,,,,,,,,,
0f9cccc8-1993-557c-b3cf-3ef70636c964,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:160_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0f9cccc8-1993-557c-b3cf-3ef70636c964,"groot depot, kast 14",,files (document groupings)
0f9cccc8-1993-557c-b3cf-3ef70636c964,tg:mmbdc:160_#1,e22_Archives,1,,"dlod={""name"":""Adresboek van Fritz Mayer van den Bergh"",""ark"":""ark:/59511/x0/9e3411b0-b5b5-57d1-928c-263fc6250855"",""uri"":""/repositories/15/archival_objects/20385173"",""id"":""isad:mmb:10"",""capacity"":""Adresboek van Fritz Mayer van den Bergh"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
0f9cccc8-1993-557c-b3cf-3ef70636c964,,e22_Dimensions,,,,133 x 87 mm,133,hoogte,millimeters,,,,,,,,,,,,,,
0f9cccc8-1993-557c-b3cf-3ef70636c964,,e22_Dimensions,,,,133 x 87 mm,87,breedte,millimeters,,,,,,,,,,,,,,
0f9cccc8-1993-557c-b3cf-3ef70636c964,tg:mmbdc:160_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/E2cxDWFTYUQoGEbV4OYBhnTM,https://dams.antwerpen.be/iiif/E2cxDWFTYUQoGEbV4OYBhnTM/manifest,DAMS Manifest,DAMS Image,,,,,,,
0f9cccc8-1993-557c-b3cf-3ef70636c964,tg:mmbdc:160_#1,e22_UsageRestrictions,,,,,,,,begindatum,,permission required,,,,,,,,,,,
1225d2c6-ae14-534c-b23f-9bb9d81bf370,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:147_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/1225d2c6-ae14-534c-b23f-9bb9d81bf370,Doos A.XVIII,,files (document groupings)
1225d2c6-ae14-534c-b23f-9bb9d81bf370,tg:mmbdc:147_#1,e22_Archives,1,,"dlod={""name"":""Ontwerp teksten voor catalogus 1904"",""ark"":""ark:/59511/x0/9d0ee276-2612-5cb7-ab83-96bc277a4c0c"",""uri"":""/repositories/15/archival_objects/20385185"",""id"":""isad:mmb:22"",""capacity"":""Ontwerp teksten voor catalogus 1904"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
1225d2c6-ae14-534c-b23f-9bb9d81bf370,,e22_Dimensions,,,,214 x 343 mm,214,hoogte,millimeters,,,,,,,,,,,,,,
1225d2c6-ae14-534c-b23f-9bb9d81bf370,,e22_Dimensions,,,,214 x 343 mm,343,breedte,millimeters,,,,,,,,,,,,,,
1225d2c6-ae14-534c-b23f-9bb9d81bf370,tg:mmbdc:147_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/s2jeMUWKmyFlNWHUbWvK8Xuk,https://dams.antwerpen.be/iiif/s2jeMUWKmyFlNWHUbWvK8Xuk/manifest,DAMS Manifest,DAMS Image,,,,,,,
1225d2c6-ae14-534c-b23f-9bb9d81bf370,tg:mmbdc:147_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,,
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:149_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,Doos A.XVIII,,files (document groupings)
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,tg:mmbdc:149_#1,e22_Archives,1,,"dlod={""name"":""Ontwerp teksten voor catalogus 1904"",""ark"":""ark:/59511/x0/9d0ee276-2612-5cb7-ab83-96bc277a4c0c"",""uri"":""/repositories/15/archival_objects/20385185"",""id"":""isad:mmb:22"",""capacity"":""Ontwerp teksten voor catalogus 1904"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,,e22_Dimensions,,,,214 x 343 mm,214,hoogte,millimeters,,,,,,,,,,,,,,
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,,e22_Dimensions,,,,214 x 343 mm,343,breedte,millimeters,,,,,,,,,,,,,,
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,tg:mmbdc:149_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/OrhGsOWTLHLCbXrLqJCbyLJ9,https://dams.antwerpen.be/iiif/OrhGsOWTLHLCbXrLqJCbyLJ9/manifest,DAMS Manifest,DAMS Image,,,,,,,
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,tg:mmbdc:149_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,,
16ea225c-79b9-5577-b04b-7c7734dcef32,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:102_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/16ea225c-79b9-5577-b04b-7c7734dcef32,Doos A.XI,,files (document groupings)
16ea225c-79b9-5577-b04b-7c7734dcef32,tg:mmbdc:102_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door Baudouin Cols, onbekende datum voor 1974"",""ark"":""ark:/59511/x0/16220524-a9f5-5783-8736-e08c7def502a"",""uri"":""/repositories/15/accessions/15048501"",""id"":""tr:mmb:3"",""date"":""9999-12-31"",""granter"":""Baudouin Cols"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,,
16ea225c-79b9-5577-b04b-7c7734dcef32,tg:mmbdc:102_#1,e22_Archives,1,,"dlod={""name"":""Organisatie"",""ark"":""ark:/59511/x0/66345675-8bda-525b-93a5-90060a9cfb91"",""uri"":""/repositories/15/archival_objects/20385198"",""id"":""isad:mmb:35"",""capacity"":""Organisatie"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
16ea225c-79b9-5577-b04b-7c7734dcef32,,e22_Dimensions,,,,278 x 218 mm,278,hoogte,millimeters,,,,,,,,,,,,,,
16ea225c-79b9-5577-b04b-7c7734dcef32,,e22_Dimensions,,,,278 x 218 mm,218,breedte,millimeters,,,,,,,,,,,,,,
16ea225c-79b9-5577-b04b-7c7734dcef32,tg:mmbdc:102_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/U2SjcF8dZiYQDpQsWZd7S6y5,https://dams.antwerpen.be/iiif/U2SjcF8dZiYQDpQsWZd7S6y5/manifest,DAMS Manifest,DAMS Image,,,,,,,
16ea225c-79b9-5577-b04b-7c7734dcef32,tg:mmbdc:102_#1,e22_UsageRestrictions,,,,,,,,begindatum,1917,permission required,,,,,,,,,,,
16fdf550-a558-5c59-b552-9e20923211a7,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:98_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/16fdf550-a558-5c59-b552-9e20923211a7,Doos A.XI,,files (document groupings)
16fdf550-a558-5c59-b552-9e20923211a7,tg:mmbdc:98_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door Baudouin Cols, onbekende datum voor 1974"",""ark"":""ark:/59511/x0/16220524-a9f5-5783-8736-e08c7def502a"",""uri"":""/repositories/15/accessions/15048501"",""id"":""tr:mmb:3"",""date"":""9999-12-31"",""granter"":""Baudouin Cols"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,,
16fdf550-a558-5c59-b552-9e20923211a7,tg:mmbdc:98_#1,e22_Archives,1,,"dlod={""name"":""Organisatie"",""ark"":""ark:/59511/x0/66345675-8bda-525b-93a5-90060a9cfb91"",""uri"":""/repositories/15/archival_objects/20385198"",""id"":""isad:mmb:35"",""capacity"":""Organisatie"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
16fdf550-a558-5c59-b552-9e20923211a7,,e22_Dimensions,,,,277 x 219 mm,277,hoogte,millimeters,,,,,,,,,,,,,,
16fdf550-a558-5c59-b552-9e20923211a7,,e22_Dimensions,,,,277 x 219 mm,219,breedte,millimeters,,,,,,,,,,,,,,
16fdf550-a558-5c59-b552-9e20923211a7,tg:mmbdc:98_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/O1q6qORiXhFBECcSNdAZdTlI,https://dams.antwerpen.be/iiif/O1q6qORiXhFBECcSNdAZdTlI/manifest,DAMS Manifest,DAMS Image,,,,,,,
16fdf550-a558-5c59-b552-9e20923211a7,tg:mmbdc:98_#1,e22_UsageRestrictions,,,,,,,,begindatum,1916,permission required,,,,,,,,,,,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:101_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,Doos A.XI,,files (document groupings)
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,tg:mmbdc:101_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door Baudouin Cols, onbekende datum voor 1974"",""ark"":""ark:/59511/x0/16220524-a9f5-5783-8736-e08c7def502a"",""uri"":""/repositories/15/accessions/15048501"",""id"":""tr:mmb:3"",""date"":""9999-12-31"",""granter"":""Baudouin Cols"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,tg:mmbdc:101_#1,e22_Archives,1,,"dlod={""name"":""Organisatie"",""ark"":""ark:/59511/x0/66345675-8bda-525b-93a5-90060a9cfb91"",""uri"":""/repositories/15/archival_objects/20385198"",""id"":""isad:mmb:35"",""capacity"":""Organisatie"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,,e22_Dimensions,,,,278 x 219 mm,278,hoogte,millimeters,,,,,,,,,,,,,,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,,e22_Dimensions,,,,278 x 219 mm,219,breedte,millimeters,,,,,,,,,,,,,,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,tg:mmbdc:101_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/LkWH6UQ5gMSMWljbU4gNXNxi,https://dams.antwerpen.be/iiif/LkWH6UQ5gMSMWljbU4gNXNxi/manifest,DAMS Manifest,DAMS Image,,,,,,,
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,tg:mmbdc:101_#1,e22_UsageRestrictions,,,,,,,,begindatum,1917,permission required,,,,,,,,,,,
19a928ce-384c-5950-9f66-aff236631d53,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:128_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/19a928ce-384c-5950-9f66-aff236631d53,Doos A.XII,,files (document groupings)
19a928ce-384c-5950-9f66-aff236631d53,tg:mmbdc:128_#1,e22_Archives,1,,"dlod={""name"":""Losse notities"",""ark"":""ark:/59511/x0/118ad384-8a4c-51fb-9a9c-5d85ec0cd339"",""uri"":""/repositories/15/archival_objects/20385175"",""id"":""isad:mmb:12"",""capacity"":""Losse notities"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
19a928ce-384c-5950-9f66-aff236631d53,,e22_Dimensions,,,,"137 x 211,2 mm",137,hoogte,millimeters,,,,,,,,,,,,,,
19a928ce-384c-5950-9f66-aff236631d53,,e22_Dimensions,,,,"137 x 211,2 mm","211,2",breedte,millimeters,,,,,,,,,,,,,,
19a928ce-384c-5950-9f66-aff236631d53,tg:mmbdc:128_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/T1cWhdKIOJeec6dlRvRnbB0R,https://dams.antwerpen.be/iiif/T1cWhdKIOJeec6dlRvRnbB0R/manifest,DAMS Manifest,DAMS Image,,,,,,,
19a928ce-384c-5950-9f66-aff236631d53,tg:mmbdc:128_#1,e22_UsageRestrictions,,,,,,,,begindatum,1896,permission required,,,,,,,,,,,
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:45_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/1aacb29f-bc49-56ee-afd3-9ae413d1ef68,Doos A.IX,,offprints
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,tg:mmbdc:45_#1,e22_Archives,1,,"dlod={""name"":""Familieberichten"",""ark"":""ark:/59511/x0/5967b833-75f7-50ed-b538-ee77f6d4d6f1"",""uri"":""/repositories/15/archival_objects/20385204"",""id"":""isad:mmb:41"",""capacity"":""Familieberichten"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,,e22_Dimensions,,,,243 x 160 mm,243,hoogte,millimeters,,,,,,,,,,,,,,
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,,e22_Dimensions,,,,243 x 160 mm,160,breedte,millimeters,,,,,,,,,,,,,,
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,tg:mmbdc:45_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/wG2A7ZSIgeWGMsSdQPFKR66o,https://dams.antwerpen.be/iiif/wG2A7ZSIgeWGMsSdQPFKR66o/manifest,DAMS Manifest,DAMS Image,,,,,,,
1aacb29f-bc49-56ee-afd3-9ae413d1ef68,tg:mmbdc:45_#1,e22_UsageRestrictions,,,,,,,,begindatum,1905,permission required,,,,,,,,,,,
1ad7940d-d021-5cc9-8925-a3c6257b3437,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:158_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/1ad7940d-d021-5cc9-8925-a3c6257b3437,Doos A.XIX,,files (document groupings)
1ad7940d-d021-5cc9-8925-a3c6257b3437,tg:mmbdc:158_#1,e22_Archives,1,,"dlod={""name"":""Plannen, uitnodigingen, notities en documentatie"",""ark"":""ark:/59511/x0/fe7842a3-eadc-51b9-8a55-d802bf7460d6"",""uri"":""/repositories/15/archival_objects/20385177"",""id"":""isad:mmb:14"",""capacity"":""Plannen, uitnodigingen, notities en documentatie"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
1ad7940d-d021-5cc9-8925-a3c6257b3437,,e22_Dimensions,,,,86 x 130 mm,86,hoogte,millimeters,,,,,,,,,,,,,,
1ad7940d-d021-5cc9-8925-a3c6257b3437,,e22_Dimensions,,,,86 x 130 mm,130,breedte,millimeters,,,,,,,,,,,,,,
1ad7940d-d021-5cc9-8925-a3c6257b3437,tg:mmbdc:158_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/EPWcndONUJCTbTbBbfsekg7U,https://dams.antwerpen.be/iiif/EPWcndONUJCTbTbBbfsekg7U/manifest,DAMS Manifest,DAMS Image,,,,,,,
1ad7940d-d021-5cc9-8925-a3c6257b3437,tg:mmbdc:158_#1,e22_UsageRestrictions,,,,,,,,begindatum,,permission required,,,,,,,,,,,
