ResourceID,mmb_id,card,order,au_code,au_name,Connected Subject Role,Connected Subject Widget,Connected Subject Note
4dd9e4ee-5d33-5130-b205-c1b62e3029a9,tg:mmbbr:24,e73_ConnectedSubjects,3,au::10257:1,"Keyser, Nicaise de",subjects (content of works),"dlod={""suggest"":[""/agents/people/1097499"",""au::10257"",""au::10257:1"",""ark:/83110/x0/7db867a5-21f7-5b1b-8938-1f2c9cd071d0"",""Nicaise de Keyser"",""ark:/83110/x0/0379e52e-9d74-59a1-8682-5cb100b8781f""],""name"":""Nicaise de Keyser"",""ark"":""ark:/83110/x0/0379e52e-9d74-59a1-8682-5cb100b8781f"",""uri"":""/agents/people/1097499"",""id"":""au::10257:1"",""resourceArk"":""ark:/83110/x0/7db867a5-21f7-5b1b-8938-1f2c9cd071d0"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
e122e2dc-32b1-5eed-973f-75de4ff03419,tg:mmbbr:425,e73_ConnectedSubjects,3,au::11460:1,"Leys, Henri",subjects (content of works),"dlod={""suggest"":[""/agents/people/1226220"",""au::11460"",""au::11460:1"",""ark:/83110/x0/e61a2d55-db99-560f-8b2b-031683e998ff"",""Henri Leys"",""ark:/83110/x0/1bc73f7a-362d-5210-9750-91b7114ade06""],""name"":""Henri Leys"",""ark"":""ark:/83110/x0/1bc73f7a-362d-5210-9750-91b7114ade06"",""uri"":""/agents/people/1226220"",""id"":""au::11460:1"",""resourceArk"":""ark:/83110/x0/e61a2d55-db99-560f-8b2b-031683e998ff"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
9401b40f-f7a2-52c8-992a-86cf3c206e8f,tg:mmbbr:577,e73_ConnectedSubjects,3,au::11460:1,"Leys, Henri",subjects (content of works),"dlod={""suggest"":[""/agents/people/1226220"",""au::11460"",""au::11460:1"",""ark:/83110/x0/e61a2d55-db99-560f-8b2b-031683e998ff"",""Henri Leys"",""ark:/83110/x0/1bc73f7a-362d-5210-9750-91b7114ade06""],""name"":""Henri Leys"",""ark"":""ark:/83110/x0/1bc73f7a-362d-5210-9750-91b7114ade06"",""uri"":""/agents/people/1226220"",""id"":""au::11460:1"",""resourceArk"":""ark:/83110/x0/e61a2d55-db99-560f-8b2b-031683e998ff"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
832affc8-ef47-536d-babf-2a1c24c506a6,tg:mmbbr:1650,e73_ConnectedSubjects,3,au::21118:1,"Weale, James W. H. ",subjects (content of works),"dlod={""suggest"":[""/agents/people/2259626"",""au::21118"",""au::21118:1"",""ark:/83110/x0/9a8adf94-b0cd-5f41-b7e9-31285ff2f776"",""W.H.James Weale"",""ark:/83110/x0/a71ef6f4-c4b4-5a9a-ba4c-a9bf72a04f19""],""name"":""W.H.James Weale"",""ark"":""ark:/83110/x0/a71ef6f4-c4b4-5a9a-ba4c-a9bf72a04f19"",""uri"":""/agents/people/2259626"",""id"":""au::21118:1"",""resourceArk"":""ark:/83110/x0/9a8adf94-b0cd-5f41-b7e9-31285ff2f776"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
6255b017-a572-5793-be57-7ddfab377194,tg:mmbbr:2425,e73_ConnectedSubjects,3,au::115274:1,"Peellaert, Juvenal",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220401"",""au::115274"",""au::115274:1"",""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""Juvenal Peellaert"",""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae""],""name"":""Juvenal Peellaert"",""ark"":""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae"",""uri"":""/agents/people/12220401"",""id"":""au::115274:1"",""resourceArk"":""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
a6ffa403-42cf-516f-b969-514137a52768,tg:mmbbr:1185,e73_ConnectedSubjects,3,,"Verhelst, Fr.",subjects (content of works),,"Verhelst, Fr."
7fc46524-9117-5592-9199-7edbeaf155f8,tg:mmbbr:1293,e73_ConnectedSubjects,3,au::115274:1,"Peellaert, Juvenal",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220401"",""au::115274"",""au::115274:1"",""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""Juvenal Peellaert"",""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae""],""name"":""Juvenal Peellaert"",""ark"":""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae"",""uri"":""/agents/people/12220401"",""id"":""au::115274:1"",""resourceArk"":""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
666c1c39-90f8-5a6e-94b2-5878309c2d69,tg:mmbbr:2272,e73_ConnectedSubjects,3,au::115550:1,"Sypesteyn, Henri van",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220486"",""au::115550"",""au::115550:1"",""ark:/83110/x0/753fad95-365c-5e0a-a3e3-b42bd9c72449"",""Henri van Sypesteyn"",""ark:/83110/x0/b03d9ed9-3386-5bfd-8bf7-3295edb035e3""],""name"":""Henri van Sypesteyn"",""ark"":""ark:/83110/x0/b03d9ed9-3386-5bfd-8bf7-3295edb035e3"",""uri"":""/agents/people/12220486"",""id"":""au::115550:1"",""resourceArk"":""ark:/83110/x0/753fad95-365c-5e0a-a3e3-b42bd9c72449"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
0f9b00bb-4ea0-5cd3-9259-d5412cd427f1,tg:mmbbr:2298,e73_ConnectedSubjects,3,au::6052:1,"Dupuis, Louis",subjects (content of works),"dlod={""suggest"":[""/agents/people/647564"",""au::6052"",""au::6052:1"",""ark:/83110/x0/8610f097-b37f-586f-9dd5-c9190c9ebfbc"",""Louis Dupuis"",""ark:/83110/x0/e729616d-c998-53db-9d65-85a86c9c1834""],""name"":""Louis Dupuis"",""ark"":""ark:/83110/x0/e729616d-c998-53db-9d65-85a86c9c1834"",""uri"":""/agents/people/647564"",""id"":""au::6052:1"",""resourceArk"":""ark:/83110/x0/8610f097-b37f-586f-9dd5-c9190c9ebfbc"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
e2632859-d3a5-5e08-86e8-311c1b747189,tg:mmbbr:2388,e73_ConnectedSubjects,3,au::115594:1,"Puissant, Edmond",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220522"",""au::115594"",""au::115594:1"",""ark:/83110/x0/33df391c-f3ae-5a43-b358-509093fc16d2"",""Edmond Puissant"",""ark:/83110/x0/e3add635-b97b-57ad-8107-33f3dfb21936""],""name"":""Edmond Puissant"",""ark"":""ark:/83110/x0/e3add635-b97b-57ad-8107-33f3dfb21936"",""uri"":""/agents/people/12220522"",""id"":""au::115594:1"",""resourceArk"":""ark:/83110/x0/33df391c-f3ae-5a43-b358-509093fc16d2"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
62becbce-2c7e-54e9-a00e-48edcab904d2,tg:mmbbr:2407,e73_ConnectedSubjects,3,au::115274:1,"Peellaert, Juvenal",subjects (content of works),"dlod={""suggest"":[""/agents/people/12220401"",""au::115274"",""au::115274:1"",""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""Juvenal Peellaert"",""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae""],""name"":""Juvenal Peellaert"",""ark"":""ark:/83110/x0/a482e922-185f-521f-8e9a-0f44adebeaae"",""uri"":""/agents/people/12220401"",""id"":""au::115274:1"",""resourceArk"":""ark:/83110/x0/e064c989-8deb-5037-869a-10dad3640d4a"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
42aaee22-3c31-51de-96a0-fb49f7bf7e61,tg:mmbbr:1235,e73_ConnectedSubjects,1,au::12085:1,"Mayer van den Bergh, Fritz",subjects (content of works),"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh"",""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/23199a0b-b77f-518e-bda0-bef1fd5675a1"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""resourceArk"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",
